File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF631KUG	bigWig	bigWig		signal p-value	GRCh38	ENCSR660WSB	ATAC-seq	/human-donors/ENCDO183AAA/	EFO:0007074	DND-41	cell line	Homo sapiens											DNA						2021-04-06	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF080WSN/, /files/ENCFF626KDS/, /files/ENCFF538YYI/	588236586	ENCODE Processing Pipeline	75c383bdc07616d3eb5734e63142ab7c		https://www.encodeproject.org/files/ENCFF631KUG/@@download/ENCFF631KUG.bigWig				released	s3://encode-public/2021/02/25/22a97736-c0d7-4844-9da4-06c09614e89c/ENCFF631KUG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/22a97736-c0d7-4844-9da4-06c09614e89c/ENCFF631KUG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	low read depth	insufficient read depth	
ENCFF095ATB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR660WSB	ATAC-seq	/human-donors/ENCDO183AAA/	EFO:0007074	DND-41	cell line	Homo sapiens											DNA						2021-04-06	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF356LFX/, /files/ENCFF080WSN/, /files/ENCFF626KDS/, /files/ENCFF538YYI/	3928098	ENCODE Processing Pipeline	0e6fcf428ada27dbd02cfd216fd9ad3b		https://www.encodeproject.org/files/ENCFF095ATB/@@download/ENCFF095ATB.bed.gz				released	s3://encode-public/2021/02/25/55a61a34-c830-43cb-a15f-8a317ed0cd82/ENCFF095ATB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/55a61a34-c830-43cb-a15f-8a317ed0cd82/ENCFF095ATB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	low read depth	insufficient read depth	
ENCFF357GNC	bigWig	bigWig		signal p-value	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF077FBI/, /files/ENCFF128WZG/, /files/ENCFF534DCE/	2118644361	ENCODE Processing Pipeline	00b10e391e8f2361990a9b4f94ac055c		https://www.encodeproject.org/files/ENCFF357GNC/@@download/ENCFF357GNC.bigWig				released	s3://encode-public/2021/03/16/9ff8b5ae-10d6-4711-96ea-a3cbb44aaadb/ENCFF357GNC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/9ff8b5ae-10d6-4711-96ea-a3cbb44aaadb/ENCFF357GNC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF333TAT	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR868FGK	ATAC-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF077FBI/, /files/ENCFF128WZG/, /files/ENCFF356LFX/, /files/ENCFF534DCE/	7067871	ENCODE Processing Pipeline	0f7a6c13e23c2e3fc8716153a89ed481		https://www.encodeproject.org/files/ENCFF333TAT/@@download/ENCFF333TAT.bed.gz				released	s3://encode-public/2021/03/16/f9c5229c-df01-48d5-b8df-10d060edd52f/ENCFF333TAT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/16/f9c5229c-df01-48d5-b8df-10d060edd52f/ENCFF333TAT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity		
ENCFF180ZAY	bigWig	bigWig		signal p-value	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF646NWY/, /files/ENCFF415FEC/	502129487	ENCODE Processing Pipeline	a00fc22d0cc8807c02d78487a4a12618		https://www.encodeproject.org/files/ENCFF180ZAY/@@download/ENCFF180ZAY.bigWig				released	s3://encode-public/2021/02/24/92ceffa5-fad0-4ea0-8e13-8df9a8f9da66/ENCFF180ZAY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/92ceffa5-fad0-4ea0-8e13-8df9a8f9da66/ENCFF180ZAY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth		
ENCFF470YYO	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR095QNB	ATAC-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF646NWY/, /files/ENCFF415FEC/, /files/ENCFF356LFX/	5453458	ENCODE Processing Pipeline	098af8fc6203be2129ab8e2d990e1f66		https://www.encodeproject.org/files/ENCFF470YYO/@@download/ENCFF470YYO.bed.gz				released	s3://encode-public/2021/02/24/8a45a912-e259-46c5-8825-44fff987d8f2/ENCFF470YYO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/8a45a912-e259-46c5-8825-44fff987d8f2/ENCFF470YYO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth		
ENCFF182SSP	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR591PIX	ATAC-seq	/human-donors/ENCDO000ABB/	EFO:0002713	Panc1	cell line	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF822BKT/, /files/ENCFF836WDC/	5211813	ENCODE Processing Pipeline	a3c499c3fb055a084365eaf9ac8bb19f		https://www.encodeproject.org/files/ENCFF182SSP/@@download/ENCFF182SSP.bed.gz				released	s3://encode-public/2021/02/24/0e9d2f26-b911-47fd-a254-7c9f25f459d9/ENCFF182SSP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/0e9d2f26-b911-47fd-a254-7c9f25f459d9/ENCFF182SSP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF794CNJ	bigWig	bigWig		signal p-value	GRCh38	ENCSR591PIX	ATAC-seq	/human-donors/ENCDO000ABB/	EFO:0002713	Panc1	cell line	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF822BKT/, /files/ENCFF836WDC/	781685102	ENCODE Processing Pipeline	c7a25e8ef1a46cd03575690271f336dd		https://www.encodeproject.org/files/ENCFF794CNJ/@@download/ENCFF794CNJ.bigWig				released	s3://encode-public/2021/02/24/4f255c23-5228-4275-b442-3575253c3a8d/ENCFF794CNJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/4f255c23-5228-4275-b442-3575253c3a8d/ENCFF794CNJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF285FQS	bigWig	bigWig		signal p-value	GRCh38	ENCSR042AWH	ATAC-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF394BBD/, /files/ENCFF239RGZ/	773170329	ENCODE Processing Pipeline	3a0c7eb02d0504cec514b0515501e62c		https://www.encodeproject.org/files/ENCFF285FQS/@@download/ENCFF285FQS.bigWig				released	s3://encode-public/2021/02/24/94ad5424-d34b-414a-8860-28e87689550e/ENCFF285FQS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/94ad5424-d34b-414a-8860-28e87689550e/ENCFF285FQS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth		
ENCFF913MQB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR042AWH	ATAC-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF394BBD/, /files/ENCFF239RGZ/	5293803	ENCODE Processing Pipeline	30b74a5eef3e616fe2a0ae4ee88481b2		https://www.encodeproject.org/files/ENCFF913MQB/@@download/ENCFF913MQB.bed.gz				released	s3://encode-public/2021/02/24/4a581f24-7684-43b8-9eb8-73adf4039ba2/ENCFF913MQB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/24/4a581f24-7684-43b8-9eb8-73adf4039ba2/ENCFF913MQB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth		
