"","Sample","downloaded","mapped","asked","circ","path","Type","Cellline","OncotreeLineage","is_ecDNA"
"1","GSE131956_GSM3832731_GBM_GBM39_ATAC_Rep1",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/GSE131956_GSM3832731_GBM_GBM39_ATAC_Rep1","ATAC","GBM39","CNS/Brain","1"
"2","SRP080870_GSM2258918_BRCA_HCC1937_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258918_BRCA_HCC1937_Input_Rep1","Input","HCC1937","Breast","0"
"3","SRP080870_GSM2258900_BRCA_MB468_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258900_BRCA_MB468_Input_Rep1","Input","MDAMB468","Breast","0"
"4","SRP080870_GSM2258882_BRCA_MB436_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258882_BRCA_MB436_Input_Rep1","Input","MDAMB436","Breast","0"
"5","SRP080870_GSM2258864_BRCA_MB231_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258864_BRCA_MB231_Input_Rep1","Input","MDAMB231","Breast","0"
"6","SRP080870_GSM2258846_BRCA_HCC1954_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258846_BRCA_HCC1954_Input_Rep1","Input","HCC1954","Breast","0"
"7","SRP080870_GSM2258828_BRCA_AU565_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258828_BRCA_AU565_Input_Rep1","Input","AU565","Breast","0"
"8","SRP080870_GSM2258810_BRCA_SKBR3_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258810_BRCA_SKBR3_Input_Rep1","Input","SKBR3","Breast","0"
"9","SRP080870_GSM2258792_BRCA_UACC812_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258792_BRCA_UACC812_Input_Rep1","Input","UACC812","Breast","0"
"10","SRP080870_GSM2258774_BRCA_MB361_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258774_BRCA_MB361_Input_Rep1","Input","MDAMB361","Breast","0"
"11","SRP080870_GSM2258756_BRCA_ZR751_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258756_BRCA_ZR751_Input_Rep1","Input","ZR751","Breast","0"
"12","SRP080870_GSM2258738_BRCA_MCF7_Input_Rep1",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP080870_GSM2258738_BRCA_MCF7_Input_Rep1","Input","MCF7","Breast","0"
"13","SRP050192_GSM1842721_BRCA_T47D_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP050192_GSM1842721_BRCA_T47D_Input","Input","T47D","Breast","0"
"14","SRP050192_GSM1842718_BRCA_SUM185_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP050192_GSM1842718_BRCA_SUM185_Input","Input","SUM185PE","Breast","0"
"15","SRP050192_GSM1842715_BRCA_SUM149_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP050192_GSM1842715_BRCA_SUM149_Input","Input","SUM149PT","Breast","0"
"16","SRP050192_GSM1842710_BRCA_SUM149R_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP050192_GSM1842710_BRCA_SUM149R_Input","Input","SUM149PT","Breast","0"
"17","SRP050192_GSM1842705_BRCA_SUM1315_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP050192_GSM1842705_BRCA_SUM1315_Input","Input","SUM1315MO2","Breast","0"
"18","SRP050192_GSM1842702_BRCA_MDA436_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP050192_GSM1842702_BRCA_MDA436_Input","Input","MDAMB436","Breast","0"
"19","SRP050192_GSM1842699_BRCA_HCC1395_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP050192_GSM1842699_BRCA_HCC1395_Input","Input","HCC1395","Breast","0"
"20","SRP050192_GSM1553140_BRCA_SUM159_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP050192_GSM1553140_BRCA_SUM159_Input","Input","SUM159PT","Breast","0"
"21","SRP050192_GSM1553135_BRCA_SUM159R_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP050192_GSM1553135_BRCA_SUM159R_Input","Input","SUM159PT","Breast","0"
"22","SRP090546_GSM2330578_BRCA_HCC1806_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP090546_GSM2330578_BRCA_HCC1806_Input","Input","HCC1806","Breast","0"
"23","SRP090546_GSM2330606_BRCA_SUM229_Pos_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP090546_GSM2330606_BRCA_SUM229_Pos_Input","Input","SUM102PT","Breast","0"
"24","SRP090546_GSM2330609_BRCA_SUM229_Neg_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP090546_GSM2330609_BRCA_SUM229_Neg_Input","Input","SUM102PT","Breast","0"
"25","SRP139878_GSM3096467_BRCA_TAMR_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP139878_GSM3096467_BRCA_TAMR_Input","Input","MCF7","Breast","0"
"26","SRP139878_GSM3096509_BRCA_WS8_Input",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP139878_GSM3096509_BRCA_WS8_Input","Input","MCF7","Breast","1"
"27","SRP119968_GSM3329882_BRCA_BT474_Input",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP119968_GSM3329882_BRCA_BT474_Input","Input","BT474","Breast","1"
"28","SRP108616_GSM2654074_BRCA_T15_JG14B_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654074_BRCA_T15_JG14B_Input","Input","","Breast","0"
"29","SRP108616_GSM2654073_BRCA_T13_JG13B_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654073_BRCA_T13_JG13B_Input","Input","","Breast","0"
"30","SRP108616_GSM2654072_BRCA_T8_JG8B_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654072_BRCA_T8_JG8B_Input","Input","","Breast","0"
"31","SRP108616_GSM2654071_BRCA_T6_JG6B1_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654071_BRCA_T6_JG6B1_Input","Input","","Breast","0"
"32","SRP108616_GSM2654070_BRCA_T3_Rep2_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654070_BRCA_T3_Rep2_Input","Input","","Breast","0"
"33","SRP108616_GSM2654068_BRCA_T14_JG7B_Input",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654068_BRCA_T14_JG7B_Input","Input","","Breast","1"
"34","SRP108616_GSM2654067_BRCA_T12_JG15B_Input",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654067_BRCA_T12_JG15B_Input","Input","","Breast","1"
"35","SRP108616_GSM2654066_BRCA_T11_JG11B_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654066_BRCA_T11_JG11B_Input","Input","","Breast","0"
"36","SRP108616_GSM2654065_BRCA_T10_JG10B_Input",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654065_BRCA_T10_JG10B_Input","Input","","Breast","1"
"37","SRP108616_GSM2654064_BRCA_T9_JG9B_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654064_BRCA_T9_JG9B_Input","Input","","Breast","0"
"38","SRP108616_GSM2654063_BRCA_T7_JG10A_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654063_BRCA_T7_JG10A_Input","Input","","Breast","0"
"39","SRP108616_GSM2654062_BRCA_T5_JG5B1_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654062_BRCA_T5_JG5B1_Input","Input","","Breast","0"
"40","SRP108616_GSM2654061_BRCA_T4_JG4B2_Input",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654061_BRCA_T4_JG4B2_Input","Input","","Breast","1"
"41","SRP108616_GSM2654060_BRCA_T3_JG3B2_Input",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ChIP-seq/SRP108616_GSM2654060_BRCA_T3_JG3B2_Input","Input","","Breast","0"
