File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF188BQP	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000FCU	Histone ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF272JNR/, /files/ENCFF329HOS/, /files/ENCFF191PNI/	2520647	ENCODE Processing Pipeline	4c953c6729a7a3066f09e6b881691bec		https://www.encodeproject.org/files/ENCFF188BQP/@@download/ENCFF188BQP.bed.gz				released	s3://encode-public/2020/09/29/ba92aa33-6095-42b3-b539-c7c96eb09d46/ENCFF188BQP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/ba92aa33-6095-42b3-b539-c7c96eb09d46/ENCFF188BQP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, low read depth, inconsistent platforms, mixed read lengths		
ENCFF763UAG	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR919WLM	Histone ChIP-seq	/human-donors/ENCDO000AAM/	EFO:0002793	HL-60	cell line	Homo sapiens										H3K27ac-human	DNA						2020-08-28	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF510IXN/, /files/ENCFF364IVU/, /files/ENCFF733OEO/, /files/ENCFF356LFX/	1360571	ENCODE Processing Pipeline	10d249830c697d38c35a6ca5a4e96248		https://www.encodeproject.org/files/ENCFF763UAG/@@download/ENCFF763UAG.bed.gz				released	s3://encode-public/2020/08/24/1cdd1057-ad31-4f9b-993f-73159071600d/ENCFF763UAG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/24/1cdd1057-ad31-4f9b-993f-73159071600d/ENCFF763UAG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF723NNH	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR857GMX	Histone ChIP-seq	/human-donors/ENCDO355AAA/	EFO:0006710	OCI-LY3	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-11	ENCODE		none, sonication (generic)	200-600, 300-600	1, 2	1_1, 2_1							/files/ENCFF164DTC/, /files/ENCFF581DCV/, /files/ENCFF384GVO/, /files/ENCFF356LFX/, /files/ENCFF360MVP/	1391001	ENCODE Processing Pipeline	d9744970f2dc8820dfa5fbf2a5eac3a3		https://www.encodeproject.org/files/ENCFF723NNH/@@download/ENCFF723NNH.bed.gz				released	s3://encode-public/2020/10/09/6910717b-43dd-4ab5-bf7b-0f3630046666/ENCFF723NNH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/09/6910717b-43dd-4ab5-bf7b-0f3630046666/ENCFF723NNH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	moderate library complexity, mixed read lengths, low read length, mild to moderate bottlenecking		
ENCFF747IZX	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR778NQS	Histone ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										H3K27ac-human	DNA				formaldehyde		2017-10-19	GGR		sonication (Bioruptor Twin)	>200	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF312BJX/, /files/ENCFF928UTV/, /files/ENCFF640LCC/, /files/ENCFF356LFX/, /files/ENCFF439UUO/, /files/ENCFF872MQN/, /files/ENCFF690PEG/	3497097	ENCODE Processing Pipeline	29e527c0e241ca914ebaa38f6acdc522		https://www.encodeproject.org/files/ENCFF747IZX/@@download/ENCFF747IZX.bed.gz				released	s3://encode-public/2020/10/01/538ba902-f6f3-4180-9e4a-5b946473047d/ENCFF747IZX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/01/538ba902-f6f3-4180-9e4a-5b946473047d/ENCFF747IZX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF340KSH	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000EWR	Histone ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										H3K27ac-human	DNA						2012-06-15	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF422VIN/, /files/ENCFF356LFX/, /files/ENCFF238STO/, /files/ENCFF355TOT/, /files/ENCFF506VER/	1236123	ENCODE Processing Pipeline	43ce778a726d8ea463f5c59dadba256f		https://www.encodeproject.org/files/ENCFF340KSH/@@download/ENCFF340KSH.bed.gz				released	s3://encode-public/2020/09/29/a9b9cfdf-3568-48bc-bc95-225d75de998f/ENCFF340KSH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/a9b9cfdf-3568-48bc-bc95-225d75de998f/ENCFF340KSH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released		insufficient read length	
ENCFF909YRO	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR597UDW	Histone ChIP-seq	/human-donors/ENCDO350AAA/	EFO:0005907	OCI-LY1	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-11	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF060CLB/, /files/ENCFF123BJQ/, /files/ENCFF906FYY/, /files/ENCFF111HMX/, /files/ENCFF356LFX/	1284749	ENCODE Processing Pipeline	93f09c4f30c5d71d755bfa218e250de2		https://www.encodeproject.org/files/ENCFF909YRO/@@download/ENCFF909YRO.bed.gz				released	s3://encode-public/2020/10/20/3f1a6e5e-40fd-4392-b1fa-d935dd1c3916/ENCFF909YRO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/3f1a6e5e-40fd-4392-b1fa-d935dd1c3916/ENCFF909YRO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mixed run types, low read depth, low read length, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	
ENCFF757HGV	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR597ULV	Histone ChIP-seq	/human-donors/ENCDO119FJJ/	EFO:0007752	VCaP	cell line	Homo sapiens										H3K27ac-human	DNA						2017-04-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF464BUQ/, /files/ENCFF434ULA/, /files/ENCFF750IHA/, /files/ENCFF531ZXP/, /files/ENCFF356LFX/	2106383	ENCODE Processing Pipeline	61b9c92360733618f1e208ca29c96c45		https://www.encodeproject.org/files/ENCFF757HGV/@@download/ENCFF757HGV.bed.gz				released	s3://encode-public/2020/09/17/f5e6436a-3ffd-4a70-87e5-17829557fe18/ENCFF757HGV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/17/f5e6436a-3ffd-4a70-87e5-17829557fe18/ENCFF757HGV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF630ZLT	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR059MVB	Histone ChIP-seq	/human-donors/ENCDO085ZKK/	EFO:0007070	ACC112	cell line	Homo sapiens										H3K27ac-human	DNA						2014-09-04	ENCODE		none, sonication (generic)	200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF356LFX/, /files/ENCFF624AUA/, /files/ENCFF613IOC/, /files/ENCFF427BYB/, /files/ENCFF803UAQ/	2228262	ENCODE Processing Pipeline	06d2866b0ab455b57fd2627aa49c6a7e		https://www.encodeproject.org/files/ENCFF630ZLT/@@download/ENCFF630ZLT.bed.gz				released	s3://encode-public/2020/10/10/40ad9099-8e53-4250-be72-8cf5369f65f0/ENCFF630ZLT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/40ad9099-8e53-4250-be72-8cf5369f65f0/ENCFF630ZLT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	antibody characterized with exemption, low read depth, low read length, moderate library complexity, mild to moderate bottlenecking		
ENCFF138VUT	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR564IGJ	Histone ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										H3K27ac-human	DNA						2016-10-19	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF552BJO/, /files/ENCFF966ORL/, /files/ENCFF098JJI/, /files/ENCFF459LLN/, /files/ENCFF356LFX/	2024737	ENCODE Processing Pipeline	be94e1a5a7204241b0fabf05966a6147		https://www.encodeproject.org/files/ENCFF138VUT/@@download/ENCFF138VUT.bed.gz				released	s3://encode-public/2021/02/02/9d75796e-e256-4365-a494-91b907d9f47e/ENCFF138VUT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/02/9d75796e-e256-4365-a494-91b907d9f47e/ENCFF138VUT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking		
ENCFF853VVI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000EUT	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H3K27ac-human	DNA						2012-06-15	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF398DWU/, /files/ENCFF132AWL/, /files/ENCFF356LFX/, /files/ENCFF900PXN/	1053266	ENCODE Processing Pipeline	4070ce453b98442d67955779a2e240f2		https://www.encodeproject.org/files/ENCFF853VVI/@@download/ENCFF853VVI.bed.gz				released	s3://encode-public/2020/09/29/35a1edce-afcb-4170-9db7-3cea56631944/ENCFF853VVI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/35a1edce-afcb-4170-9db7-3cea56631944/ENCFF853VVI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read depth, low read length		
