cancer	gse	cell	clcell	isctrl	istreated	ncell	isCapture	depth	reso	Cancer_Category	Origin	GEO	ENCODE	Cistrome	has_any_H3K27ac
AA	GSE81879	AA86	AA86	0	0	AA86	0	6968351	203800	Solid Tumor	Central Nervous System	0	0	0	0
ALL	GSE145997	ALL_PDX17	ALL_PDX17	0	0	ALL_PDX17	0	63639853	9400	Hematological (Leukemia)	Hematological	0	0	0	0
ALL	GSE145997	ALL_PDX19	ALL_PDX19	0	0	ALL_PDX19	0	47101158	9300	Hematological (Leukemia)	Hematological	0	0	0	0
ALL	GSE145997	ALL_PDX23	ALL_PDX23	0	0	ALL_PDX23	0	94214218	4300	Hematological (Leukemia)	Hematological	0	0	0	0
ALL	GSE145997	ALL_PDX29	ALL_PDX29	0	0	ALL_PDX29	0	79135914	5450	Hematological (Leukemia)	Hematological	0	0	0	0
ALL	GSE145997	ALL_PDX31	ALL_PDX31	0	0	ALL_PDX31	0	66037266	6050	Hematological (Leukemia)	Hematological	0	0	0	0
ALL	GSE145997	ALL_PDX34	ALL_PDX34	0	0	ALL_PDX34	0	96874337	3900	Hematological (Leukemia)	Hematological	0	0	0	0
ALL	GSE145997	ALL_PDX40	ALL_PDX40	0	0	ALL_PDX40	0	77855379	6800	Hematological (Leukemia)	Hematological	0	0	0	0
ALL	GSE145997	GM12878	GM12878	1	0	GM12878	0	148618721	3600	Normal Tissue	Hematological	0	0	1	1
AML	GSE108303	FLT3-ITD_cHiC	FLT3-ITD	0	0	FLT3-ITD	0	49869119	23000	Hematological (Leukemia)	Hematological	0	0	1	1
AML	GSE108303	t8_21_cHiC	t8_21	0	0	t8_21	0	41281076	26600	Hematological (Leukemia)	Hematological	0	0	0	0
AML	GSE115633	HL-60_S4	HL60	0	0	HL60	0	123756469	12550	Hematological (Leukemia)	Hematological	1	1	1	1
AML	GSE120815	HL-60_S4	HL60	0	0	HL60_2	0	14969491	109200	Hematological (Leukemia)	Hematological	1	1	1	1
AML	GSE131580	HL-60	HL60	0	0	HL60_3	0	388243640	15850	Hematological (Leukemia)	Hematological	1	1	1	1
AML	GSE147123	HL-60	HL60	0	0	HL60_4	0	46128057	18650	Hematological (Leukemia)	Hematological	1	1	1	1
AML	GSE147123	ML2	ML2	0	0	ML2	0	33311638	26100	Hematological (Leukemia)	Hematological	0	0	0	0
AML	GSE147123	MOLM13	MOLM13	0	0	MOLM13	0	43415123	20200	Hematological (Leukemia)	Hematological	0	0	1	1
