depmap_id	cell_line_display_name	lineage_1	lineage_2	lineage_3	lineage_6	lineage_4
ACH-001270	127399	Soft Tissue	Synovial Sarcoma	Synovial Sarcoma		
ACH-002680	170MGBA	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-001438	1777NRPMET	Testis	Non-Seminomatous Germ Cell Tumor	Embryonal Carcinoma		
ACH-002401	21MT2	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	HER2+	
ACH-002399	21NT	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	HER2+	
ACH-000520	59M	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer		
ACH-000973	639V	Bladder/Urinary Tract	Urethral Cancer	Urethral Urothelial Carcinoma		
ACH-001795	94T778	Soft Tissue	Liposarcoma	Well-Differentiated Liposarcoma		
ACH-001999	9505BIK	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma		
ACH-001796	95T1000	Soft Tissue	Liposarcoma	Well-Differentiated Liposarcoma		
ACH-000283	A1207	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-002001	A375SKINCJ1	Skin	Melanoma	Melanoma		
ACH-002002	A375SKINCJ2	Skin	Melanoma	Melanoma		
ACH-002003	A375SKINCJ3	Skin	Melanoma	Melanoma		
ACH-000757	A427	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-003012	A549CRAFKD	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma		
ACH-003137	ABMT0281	CNS/Brain	Non-Cancerous	Immortalized Astrocytes		
ACH-003125	ASPSKY	Soft Tissue	Alveolar Soft Part Sarcoma	Alveolar Soft Part Sarcoma		
ACH-000248	AU565	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	HER2+	
ACH-002921	BCK4	Breast	Invasive Breast Carcinoma	Breast Invasive Lobular Carcinoma		
ACH-001016	BECKER	CNS/Brain	Diffuse Glioma	Astrocytoma		
ACH-001278	BIN67	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Small Cell Carcinoma of the Ovary		
ACH-003283	BJ	Fibroblast	Non-Cancerous	Fibroblast		
ACH-001449	BL2	Lymphoid	Mature B-Cell Neoplasms	Burkitt Lymphoma		
ACH-000245	BL41	Lymphoid	Mature B-Cell Neoplasms	Burkitt Lymphoma		
ACH-000402	BL70	Lymphoid	Mature B-Cell Neoplasms	Burkitt Lymphoma		
ACH-001019	BROLI	Skin	Merkel Cell Carcinoma	Merkel Cell Carcinoma		
ACH-000160	BT12	CNS/Brain	Embryonal Tumor	Atypical Teratoid/Rhabdoid Tumor		
ACH-001020	BT16	CNS/Brain	Embryonal Tumor	Atypical Teratoid/Rhabdoid Tumor		
ACH-000536	BT20	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	Basal A TNBC	
ACH-000927	BT474	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	ER+, PR+, HER2+	
ACH-000818	BT483	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	luminal ER+, PR+, HER2+	
ACH-000288	BT549	Breast	Invasive Breast Carcinoma	Breast Invasive Carcinoma, NOS	Basal B TNBC	
ACH-001454	C10	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma		
ACH-001456	C125PM	Bowel	Colorectal Adenocarcinoma	Colorectal Adenocarcinoma		
ACH-003295	C20A4	Unknown	Non-Cancerous	Transformed cell line		
ACH-001813	C242	Bone	Osteosarcoma	Osteosarcoma		
ACH-003297	C28I2	Unknown	Non-Cancerous	Transformed cell line		
ACH-001817	C393	Bone	Osteosarcoma	Osteosarcoma		
ACH-001818	C396	Bone	Osteosarcoma	Osteosarcoma		
ACH-001335	C4II	Cervix	Cervical Squamous Cell Carcinoma	Cervical Squamous Cell Carcinoma		
ACH-001459	C80	Bowel	Colorectal Adenocarcinoma	Rectal Adenocarcinoma		
ACH-001460	C84	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma		
ACH-001461	C99	Bowel	Colorectal Adenocarcinoma	Rectal Adenocarcinoma		
ACH-000212	CAL120	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	Basal B TNBC	
ACH-000902	CAL148	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	luminal HER2+	
ACH-000856	CAL51	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	Basal B TNBC	
ACH-000857	CAL851	Breast	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	basal TNBC	
ACH-000783	CAMA1	Breast	Invasive Breast Carcinoma	Breast Invasive Lobular Carcinoma	luminal ER+, PR+, HER2+	
ACH-001022	CBAGPN	Bone	Ewing Sarcoma	Ewing Sarcoma		
ACH-002647	CCC5	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Cholangiocarcinoma		
ACH-000963	CCK81	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	MSI	
ACH-003460	CCLFHEME0001T	Lymphoid	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS		
ACH-003463	CCLFHEME0004T	Lymphoid	Mature T and NK Neoplasms	T-Cell Prolymphocytic Leukemia		
ACH-003474	CCLFHNSC0001T	Head and Neck	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma		
ACH-003476	CCLFHNSC0002T	Esophagus/Stomach	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma		
ACH-003475	CCLFHNSC0003T	Head and Neck	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma		
ACH-003465	CCLFHNSC0004T	Head and Neck	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma		
ACH-002403	CCLFMELM0001T	Skin	Melanoma	Melanoma		
ACH-002404	CCLFMELM0002T	Skin	Melanoma	Melanoma		
ACH-002405	CCLFMELM0003T	Skin	Melanoma	Melanoma		
ACH-003455	CCLFMELM0004T	Skin	Melanoma	Melanoma		
ACH-003456	CCLFMELM0006T	Skin	Melanoma	Melanoma		
ACH-003458	CCLFMELM0010T	Skin	Melanoma	Melanoma		
ACH-003459	CCLFMELM0011T	Skin	Melanoma	Melanoma		
ACH-003457	CCLFMELM0038T	Skin	Melanoma	Melanoma		
ACH-002932	CCLFNEURO0001T	Bowel	Colorectal Adenocarcinoma	Colorectal Adenocarcinoma		
ACH-003438	CCLFNEURO0005T	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-002409	CCLFNEURO0006T	CNS/Brain	Diffuse Glioma	Glioblastoma		
ACH-003426	CCLFNEURO0046T	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma		
ACH-003464	CCLFNPDX0008T	Soft Tissue	Liposarcoma	Liposarcoma		
ACH-002419	CCLFOVPA0001T	Uterus	Endometrial Carcinoma	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor		
ACH-003433	CCLFPANC0019T	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma		
ACH-001163	CCLFPEDS0001T	Kidney	Renal Cell Carcinoma	Renal Medullary Carcinoma		
ACH-001423	CCLFPEDS0002T	Kidney	Wilms' Tumor	Wilms' Tumor		
ACH-001164	CCLFPEDS0003T	Soft Tissue	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma		
ACH-001427	CCLFPEDS0007T	Bone	Ewing Sarcoma	Ewing Sarcoma	EWS::FLI	
ACH-001433	CCLFPEDS0008T	Soft Tissue	Epithelioid Sarcoma	Epithelioid Sarcoma		
ACH-001428	CCLFPEDS0010T	Bone	Ewing Sarcoma	Ewing Sarcoma	EWS::FLI	
ACH-003473	CCLFPEDS0013T	Soft Tissue	Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma		
ACH-002431	CCLFPEDS0014T1	Peripheral Nervous System	Neuroblastoma	Neuroblastoma		
ACH-002433	CCLFPEDS0019T	Bone	Osteosarcoma	Osteosarcoma		
ACH-002937	CCLFPEDS0020T	Kidney	Wilms' Tumor	Wilms' Tumor		
ACH-002435	CCLFPEDS0022T	Kidney	Wilms' Tumor	Wilms' Tumor		
ACH-002438	CCLFPEDS0026T	Kidney	Wilms' Tumor	Wilms' Tumor		
ACH-002936	CCLFPEDS0043T	Soft Tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma		
ACH-003451	CCLFPEDS0048T	Kidney	Wilms' Tumor	Wilms' Tumor		
ACH-002942	CCLFRARE0004T	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma		
ACH-003267	CCLFRARE0009T	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma		
ACH-003265	CCLFRARE0010T	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma		
ACH-003269	CCLFRARE0019T	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma		
ACH-002843	CCLFRARE0020T	Soft Tissue	Desmoid/Aggressive Fibromatosis	Desmoid/Aggressive Fibromatosis	CTNNB1 (T41A) Mutant	
ACH-003266	CCLFRARE0021T	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma		
ACH-003268	CCLFRARE0022T	Soft Tissue	Leiomyosarcoma	Leiomyosarcoma		
ACH-002844	CCLFRARE0025T	Soft Tissue	Desmoid/Aggressive Fibromatosis	Desmoid/Aggressive Fibromatosis	CTNNB1_WT	
ACH-003468	CCLFTHYR0003T	Thyroid	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer		
ACH-003469	CCLFTHYR0004T	Thyroid	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer		
ACH-003470	CCLFTHYR0005T	Thyroid	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer		
ACH-003471	CCLFTHYR0006T	Thyroid	Well-Differentiated Thyroid Cancer	Papillary Thyroid Cancer		
ACH-002440	CCLFTHYR0008T	Thyroid	Well-Differentiated Thyroid Cancer	Papillary Thyroid Cancer		
ACH-003472	CCLFTHYR0009T	Thyroid	Medullary Thyroid Cancer	Medullary Thyroid Cancer		
ACH-002446	CCLFUPGI0005T	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		
ACH-003437	CCLFUPGI0078T	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma		
ACH-001959	CCLP1	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-001960	CCSW1	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma		
ACH-000025	CH157MN	CNS/Brain	Meningothelial Tumor	Meningioma		
ACH-001041	CHL1DM	Skin	Melanoma	Melanoma		
ACH-001029	CHLA10	Bone	Ewing Sarcoma	Ewing Sarcoma	EWS::FLI	
ACH-001465	CHLA136	Peripheral Nervous System	Neuroblastoma	Neuroblastoma		
ACH-001030	CHLA218	Bone	Ewing Sarcoma	Ewing Sarcoma		
ACH-001031	CHLA266	CNS/Brain	Embryonal Tumor	Atypical Teratoid/Rhabdoid Tumor		
