header	clcell	Datasource	isctrl	cancer	Cancer_Category	Origin	gse	group	treatment
22RV1	22RV1	CCLE	0	PRAD	Solid Tumor	Reproductive System	CCLE	CCLE	CCLE
42MGBA	42MGBA	CCLE	0	GBM	Solid Tumor	Central Nervous System	CCLE	CCLE	CCLE
697	697	CCLE	0	B-ALL	Hematological (Leukemia)	Hematological	CCLE	CCLE	CCLE
786O	786O	CCLE	0	RCC	Solid Tumor	Urinary System	CCLE	CCLE	CCLE
A172	A172	CCLE	0	GBM	Solid Tumor	Central Nervous System	CCLE	CCLE	CCLE
A2058	A2058	CCLE	0	MEL	Solid Tumor	Neural crest derived	CCLE	CCLE	CCLE
A375	A375	CCLE	0	MEL	Solid Tumor	Neural crest derived	CCLE	CCLE	CCLE
A549	A549	CCLE	0	NSCLC	Solid Tumor	Epithelial derived	CCLE	CCLE	CCLE
A673	A673	CCLE	0	ES	Solid Tumor	Mesenchymal derived	CCLE	CCLE	CCLE
ACHN	ACHN	CCLE	0	RCC	Solid Tumor	Urinary System	CCLE	CCLE	CCLE
BC1	BC1	CCLE	0	B-ALL	Hematological (Leukemia)	Hematological	CCLE	CCLE	CCLE
BC3	BC3	CCLE	0	B-ALL	Hematological (Leukemia)	Hematological	CCLE	CCLE	CCLE
BLCA_5637-WT-1	5637	GEO	0	BLCA	Solid Tumor	Urinary System	GSE267762	ENSG_count	unknown
BLCA_5637-WT-2	5637	GEO	0	BLCA	Solid Tumor	Urinary System	GSE267762	ENSG_count	unknown
BLCA_5637-WT-3	5637	GEO	0	BLCA	Solid Tumor	Urinary System	GSE267762	ENSG_count	unknown
BLCA_5637-WT2-1	5637	GEO	0	BLCA	Solid Tumor	Urinary System	GSE267762	ENSG_count	unknown
BLCA_5637-WT2-3	5637	GEO	0	BLCA	Solid Tumor	Urinary System	GSE267762	ENSG_count	unknown
BL_CA46_1	CA46	GEO	0	BL	Hematological (Lymphoma)	Hematological	GSE294864	ENSG_count	unknown
BL_CA46_2	CA46	GEO	0	BL	Hematological (Lymphoma)	Hematological	GSE294864	ENSG_count	unknown
BL_RAJI_1	RAJI	GEO	0	BL	Hematological (Lymphoma)	Hematological	GSE294864	ENSG_count	unknown
BL_RAJI_2	RAJI	GEO	0	BL	Hematological (Lymphoma)	Hematological	GSE294864	ENSG_count	unknown
BT20	BT20	CCLE	0	BRCA	Solid Tumor	Reproductive System	CCLE	CCLE	CCLE
BT474	BT474	CCLE	0	BRCA	Solid Tumor	Reproductive System	CCLE	CCLE	CCLE
BT483	BT483	CCLE	0	BRCA	Solid Tumor	Reproductive System	CCLE	CCLE	CCLE
BT549	BT549	CCLE	0	BRCA	Solid Tumor	Reproductive System	CCLE	CCLE	CCLE
CACO2	CACO2	CCLE	0	CRC	Solid Tumor	Digestive System	CCLE	CCLE	CCLE
CALU3_CCLE	CALU3	CCLE	0	NSCLC	Solid Tumor	Epithelial derived	CCLE	CCLE	CCLE
