GSM3667569	MYO-PT354
GSM3667570	MYO-PT563
GSM3667571	MYO_PT728
GSM3667572	MYO_PT758
GSM3667573	MYO-PT845
GSM3667574	MYO-PT848
GSM3667575	MYO-PT886
GSM3667576	MYO-PT916
GSM3667577	MYO-PT967
GSM3667578	MYO-PT1063
GSM3667579	MYO-PT1113
GSM3667580	MYO-PT1119
GSM3667581	MYO-PT1123
GSM3667582	MYO-PT1151
GSM3667583	MYO-PTc57
GSM3667584	LEIO-PT354
GSM3667585	LEIO-PT563
GSM3667586	LEIO_PT728
GSM3667587	LEIO_PT758
GSM3667588	LEIO-PT845
GSM3667589	LEIO-PT848
GSM3667590	LEIO-PT886
GSM3667591	LEIO-PT916
GSM3667592	LEIO-PT967
GSM3667593	LEIO-PT1063
GSM3667594	LEIO-PT1113
GSM3667595	LEIO-PT1119
GSM3667596	LEIO-PT1123
GSM3667597	LEIO-PT1151
GSM3667598	LEIO-PTc57
