header	cancer	clcell	cell	isctrl	Datasource
22RV1	PRAD	22RV1	22RV1	0	CCLE
697	B-ALL	697	697	0	CCLE
786O	RCC	786O	786O	0	CCLE
A2058	MEL	A2058	A2058	0	CCLE
A375	MEL	A375	A375	0	CCLE
A549	NSCLC	A549	A549	1	CCLE
A549	NSCLC	A549	A549	1	CCLE
A673	ES	A673	A673	0	CCLE
ACHN	RCC	ACHN	ACHN	0	CCLE
BC1	B-ALL	BC1	BC1	0	CCLE
BC3	B-ALL	BC3	BC3	0	CCLE
BT20	BRCA	BT20	BT20	0	CCLE
BT474	BRCA	BT474	BT474	0	CCLE
BT483	BRCA	BT483	BT483	0	CCLE
BT549	BRCA	BT549	BT549	0	CCLE
CACO2	CRC	CACO2	CACO2	0	CCLE
CALU3.x	NSCLC	CALU3.x	CALU3.x	0	GEO
CAOV3	OV	CAOV3	CAOV3	0	CCLE
CHLA9	ES	CHLA9	CHLA9	0	CCLE
D458	MB	D458	D458	0	CCLE
DAUDI	BL	DAUDI	DAUDI	0	CCLE
DLD1	CRC	DLD1	DLD1	0	CCLE
DU145	PRAD	DU145	DU145	0	CCLE
DU4475	BRCA	DU4475	DU4475	0	CCLE
GIMEN	NB	GIMEN	GIMEN	0	CCLE
GRANTA452	MCL	GRANTA452	GRANTA452	0	CCLE
HAP1	CML	HAP1	HAP1	0	CCLE
HCC1187	BRCA	HCC1187	HCC1187	0	CCLE
HCC1569	BRCA	HCC1569	HCC1569	0	CCLE
HCC1599	BRCA	HCC1599	HCC1599	0	CCLE
HCC1806	BRCA	HCC1806	HCC1806	0	CCLE
HCC1937	BRCA	HCC1937	HCC1937	0	CCLE
HCC1954	BRCA	HCC1954	HCC1954	0	CCLE
HCC2157	BRCA	HCC2157	HCC2157	0	CCLE
HCC2218	BRCA	HCC2218	HCC2218	0	CCLE
HCC364	NSCLC	HCC364	HCC364	0	CCLE
HCC38	BRCA	HCC38	HCC38	0	CCLE
HCC70	BRCA	HCC70	HCC70	0	CCLE
HCT116	CRC	HCT116	HCT116	0	CCLE
HEK293	RCC	HEK293	HEK293	1	CCLE
HELA	CESC	HELA	HELA	0	CCLE
HEPG2.x	HCC	HEPG2.x	HEPG2	0	GEO
HEYA8	OV	HEYA8	HEYA8	0	CCLE
HL60	AML	HL60	HL60	0	CCLE
HS578T	BRCA	HS578T	HS578T	0	CCLE
HT1080	FSA	HT1080	HT1080	0	CCLE
HT1376	BLCA	HT1376	HT1376	0	CCLE
IM95	GC	IM95	IM95	0	CCLE
JEKO1	MCL	JEKO1	JEKO1	0	CCLE
JURKAT	TALL	JURKAT	JURKAT	0	CCLE
KNS42	GBM	KNS42	KNS42	0	CCLE
LNCAPCLONEFGC	PRAD	LNCAPCLONEFGC	LNCAPCLONEFGC	0	CCLE
MAVER1	MCL	MAVER1	MAVER1	0	CCLE
MCF7	BRCA	MCF7	MCF7	0	CCLE
MDAMB231	BRCA	MDAMB231	MDAMB231	0	CCLE
MDAMB436	BRCA	MDAMB436	MDAMB436	0	CCLE
MDAMB468	BRCA	MDAMB468	MDAMB468	0	CCLE
MG63.x	OS	MG63.x	MG63	0	GEO
MINO	MCL	MINO	MINO	0	CCLE
MKN1	GC	MKN1	MKN1	0	CCLE
MKN7	GC	MKN7	MKN7	0	CCLE
MOLM13	AML	MOLM13	MOLM13	0	CCLE
MV411	AML	MV411	MV411	0	CCLE
NALM6	B-ALL	NALM6	NALM6	0	CCLE
NAMALWA	BL	NAMALWA	NAMALWA	0	CCLE
NB4	AML	NB4	NB4	0	CCLE
NCIH1437	NSCLC	NCIH1437	NCIH1437	0	CCLE
NCIH1563	NSCLC	NCIH1563	NCIH1563	0	CCLE
NCIH1573	NSCLC	NCIH1573	NCIH1573	0	CCLE
NCIH1975	NSCLC	NCIH1975	NCIH1975	0	CCLE
NCIH2087	NSCLC	NCIH2087	NCIH2087	0	CCLE
NCIH358	NSCLC	NCIH358	NCIH358	0	CCLE
NCIH441	NSCLC	NCIH441	NCIH441	0	CCLE
NCIH460.x	NSCLC	NCIH460.x	NCIH460	0	GEO
NCIH596	NSCLC	NCIH596	NCIH596	0	CCLE
NUGC3	GC	NUGC3	NUGC3	0	CCLE
OCILY7.x	DLBCL	OCILY7.x	OCILY7	0	GEO
OCUM1	GC	OCUM1	OCUM1	0	CCLE
PC3.x	PRAD	PC3.x	PC3	0	GEO
PEO1	OV	PEO1	PEO1	0	CCLE
PRECLH	PRAD	PRECLH	PRECLH	0	CCLE
RAJI	BL	RAJI	RAJI	0	CCLE
REC1	MCL	REC1	REC1	0	CCLE
REH	B-ALL	REH	REH	0	CCLE
RPMI7951	MEL	RPMI7951	RPMI7951	0	CCLE
RPMI8226	MM	RPMI8226	RPMI8226	0	CCLE
RPMI8402	TALL	RPMI8402	RPMI8402	0	CCLE
RT4	BLCA	RT4	RT4	0	CCLE
SCABER	BLCA	SCABER	SCABER	0	CCLE
SHSY5Y	NB	SHSY5Y	SHSY5Y	0	CCLE
SKBR3	BRCA	SKBR3	SKBR3	0	CCLE
SKNDZ	NB	SKNDZ	SKNDZ	0	CCLE
SKNMC	ES	SKNMC	SKNMC	0	CCLE
SKNMC	NB	SKNMC	SKNMC	0	CCLE
SKNSH	NB	SKNSH	SKNSH	0	CCLE
SKOV3	OV	SKOV3	SKOV3	0	CCLE
