header	clcell	Datasource	isctrl	cancer	Cancer_Category	Origin
22RV1	22RV1	CCLE	0	PRAD	Solid Tumor	Reproductive System
697	697	CCLE	0	B-ALL	Hematological (Leukemia)	Hematological
786O	786O	CCLE	0	RCC	Solid Tumor	Urinary System
A2058	A2058	CCLE	0	MEL	Solid Tumor	Neural crest derived tumors
A375	A375	CCLE	0	MEL	Solid Tumor	Neural crest derived tumors
A549	A549	CCLE	0	NSCLC	Solid Tumor	Epithelial tumors
A673	A673	CCLE	0	ES	Solid Tumor	Mesenchymal tumors
ACHN	ACHN	CCLE	0	RCC	Solid Tumor	Urinary System
BC1	BC1	CCLE	0	B-ALL	Hematological (Leukemia)	Hematological
BC3	BC3	CCLE	0	B-ALL	Hematological (Leukemia)	Hematological
BL_CA46_1	CA46	GEO	0	BL	Hematological (Lymphoma)	Hematological
BL_CA46_2	CA46	GEO	0	BL	Hematological (Lymphoma)	Hematological
BL_RAJI_1	RAJI	GEO	0	BL	Hematological (Lymphoma)	Hematological
BL_RAJI_2	RAJI	GEO	0	BL	Hematological (Lymphoma)	Hematological
BLCA_5637-KO1-1	5637-KO1-1	GEO	0	BLCA	Solid Tumor	Urinary System
BLCA_5637-WT-1	5637	GEO	0	BLCA	Solid Tumor	Urinary System
BLCA_5637-WT-2	5637	GEO	0	BLCA	Solid Tumor	Urinary System
BLCA_5637-WT-3	5637	GEO	0	BLCA	Solid Tumor	Urinary System
BLCA_5637-WT2-1	5637	GEO	0	BLCA	Solid Tumor	Urinary System
BLCA_5637-WT2-3	5637	GEO	0	BLCA	Solid Tumor	Urinary System
BT20	BT20	CCLE	0	BRCA	Solid Tumor	Reproductive System
BT474	BT474	CCLE	0	BRCA	Solid Tumor	Reproductive System
BT483	BT483	CCLE	0	BRCA	Solid Tumor	Reproductive System
BT549	BT549	CCLE	0	BRCA	Solid Tumor	Reproductive System
CACO2	CACO2	CCLE	0	CRC	Solid Tumor	Digestive System
CALU3.x	CALU3	GEO	0	NSCLC	Solid Tumor	Epithelial tumors
CALU3.y	CALU3	GEO	0	NSCLC	Solid Tumor	Epithelial tumors
CAOV3	CAOV3	CCLE	0	OV	Solid Tumor	Reproductive System
CCRF-CEM_CCRF-CEM_rep1	CCRFCEM	GEO	0	TALL	Hematological (Leukemia)	Hematological
CCRF-CEM_CCRF-CEM_rep2	CCRFCEM	GEO	0	TALL	Hematological (Leukemia)	Hematological
CCRF-CEM_CCRF-CEM_rep3	CCRFCEM	GEO	0	TALL	Hematological (Leukemia)	Hematological
CHLA9	CHLA9	CCLE	0	ES	Solid Tumor	Mesenchymal tumors
CLL_CLL_102	CLL_102	GEO	0	CLL	Hematological (Leukemia)	Hematological
CLL_CLL_312	CLL_312	GEO	0	CLL	Hematological (Leukemia)	Hematological
CLL_CLL_344	CLL_344	GEO	0	CLL	Hematological (Leukemia)	Hematological
CLL_CLL_401	CLL_401	GEO	0	CLL	Hematological (Leukemia)	Hematological
CLL_CLL_484	CLL_484	GEO	0	CLL	Hematological (Leukemia)	Hematological
CML_HAP1-WT-rep1	HAP1	GEO	0	CML	Hematological (Leukemia)	Hematological
CML_HAP1-WT-rep2	HAP1	GEO	0	CML	Hematological (Leukemia)	Hematological
CRC_A001C007	A001C007	GEO	1	CRC	Solid Tumor	Digestive System
CRC_A001C011	A001C011	GEO	1	CRC	Solid Tumor	Digestive System
CRC_A001C013	A001C013	GEO	1	CRC	Solid Tumor	Digestive System
CRC_A001C019	A001C019	GEO	1	CRC	Solid Tumor	Digestive System
CRC_A002C001	A002C001	GEO	1	CRC	Solid Tumor	Digestive System
CRC_A002C002	A002C002	GEO	1	CRC	Solid Tumor	Digestive System
CRC_A002C006	A002C006	GEO	1	CRC	Solid Tumor	Digestive System
CRC_A002C010	A002C010	GEO	1	CRC	Solid Tumor	Digestive System
CRC_A002C013	A002C013	GEO	1	CRC	Solid Tumor	Digestive System
CRC_A002C122	A002C122	GEO	1	CRC	Solid Tumor	Digestive System
