AA	GSE81879	AA86	AA86
ALL	GSE145997	ALL_PDX17	ALL_PDX17
ALL	GSE145997	ALL_PDX19	ALL_PDX19
ALL	GSE145997	ALL_PDX23	ALL_PDX23
ALL	GSE145997	ALL_PDX29	ALL_PDX29
ALL	GSE145997	ALL_PDX31	ALL_PDX31
ALL	GSE145997	ALL_PDX34	ALL_PDX34
ALL	GSE145997	ALL_PDX40	ALL_PDX40
ALL	GSE145997	GM12878	GM12878
AML	GSE108303	FLT3-ITD_cHiC	FLT3-ITD_cHiC
AML	GSE108303	t8_21_cHiC	t8_21_cHiC
AML	GSE115633	HL-60_S4	HL-60_S4
AML	GSE120815	HL-60_S4	HL-60_S4
AML	GSE131580	HL-60	HL-60
AML	GSE147123	HL-60	HL-60
AML	GSE147123	ML2	ML2
AML	GSE147123	MOLM13	MOLM13
AML	GSE147123	MV411	MV411
AML	GSE152136	PBMC_BM1	PBMC_BM1
AML	GSE152136	PBMC_BM2	PBMC_BM2
AML	GSE152136	PBMC_BM3	PBMC_BM3
AML	GSE165038	U937	U937
AML	GSE208040	THP-1	THP-1
AML	GSE235154	NB-4	NB-4
AML	GSE93995	HL-60	HL-60
B-ALL	GSE105776	B_lymphocytes	B_lymphocytes
B-ALL	GSE115491	Nalm6	Nalm6
B-ALL	GSE136904	GM12878	GM12878
B-ALL	GSE138862	B-ALL_minus27	B-ALL_minus27
B-ALL	GSE138862	B-ALL_minus35	B-ALL_minus35
B-ALL	GSE138862	B-ALL_plus27	B-ALL_plus27
B-ALL	GSE138862	B-ALL_plus35	B-ALL_plus35
B-ALL	GSE163696	BC1_latent	BC1_latent
B-ALL	GSE163696	BC3_latent	BC3_latent
B-ALL	GSE163696	BCBL-1_latent	BCBL-1_latent
B-ALL	GSE163696	BCBL-1_reactivated	BCBL-1_reactivated
B-ALL	GSE190843	697	697
B-ALL	GSE190843	NALM6	NALM6
B-ALL	GSE190843	Reh	Reh
B-ALL	GSE73924	B-ALL	B-ALL
B-ALL	GSE73924	CALL4	CALL4
B-ALL	GSE99946	BCBL1_TREx-KRta_Dox	BCBL1_TREx-KRta_Dox
B-ALL	GSE99946	BCBL1_TREx-KRta_NoDox	BCBL1_TREx-KRta_NoDox
