ncell	cancer	gse	cell	isctrl	depth	Cancer_Category	Origin
09-376	CRC	GSE137188	09-376	0	105179165	Solid Tumor	Digestive System
11-1026	CRC	GSE137188	11-1026	0	102757999	Solid Tumor	Digestive System
11-1074	CRC	GSE137188	11-1074	0	95497276	Solid Tumor	Digestive System
11-1074_Normal	CRC	GSE137188	11-1074_Normal	1	90275817	Normal	Digestive System
11-51	CRC	GSE137188	11-51	0	61174254	Solid Tumor	Digestive System
11-51_Normal	CRC	GSE137188	11-51_Normal	1	113095102	Normal	Digestive System
11-52	CRC	GSE137188	11-52	0	94723091	Solid Tumor	Digestive System
11-52_Normal	CRC	GSE137188	11-52_Normal	1	87713161	Normal	Digestive System
11-63	CRC	GSE137188	11-63	0	104670025	Solid Tumor	Digestive System
11-63_Normal	CRC	GSE137188	11-63_Normal	1	95145177	Normal	Digestive System
11-927	CRC	GSE137188	11-927	0	95997926	Solid Tumor	Digestive System
11-983	CRC	GSE137188	11-983	0	105174347	Solid Tumor	Digestive System
12-251	CRC	GSE137188	12-251	0	88429106	Solid Tumor	Digestive System
12-251_Normal	CRC	GSE137188	12-251_Normal	1	88555819	Normal	Digestive System
13-1317	CRC	GSE137188	13-1317	0	76242970	Solid Tumor	Digestive System
13-1320	CRC	GSE137188	13-1320	0	104161355	Solid Tumor	Digestive System
13-1321	CRC	GSE137188	13-1321	0	102227797	Solid Tumor	Digestive System
13-1334	CRC	GSE137188	13-1334	0	83177025	Solid Tumor	Digestive System
13-1410	CRC	GSE137188	13-1410	0	83288862	Solid Tumor	Digestive System
13-1413	CRC	GSE137188	13-1413	0	105917260	Solid Tumor	Digestive System
13-1483	CRC	GSE137188	13-1483	0	103280343	Solid Tumor	Digestive System
13-257	CRC	GSE137188	13-257	0	101549236	Solid Tumor	Digestive System
13-542	CRC	GSE137188	13-542	0	133842886	Solid Tumor	Digestive System
13-542_Normal	CRC	GSE137188	13-542_Normal	1	133875316	Normal	Digestive System
13-545	CRC	GSE137188	13-545	0	96096371	Solid Tumor	Digestive System
13-731	CRC	GSE137188	13-731	0	98623941	Solid Tumor	Digestive System
13-731_Normal	CRC	GSE137188	13-731_Normal	1	89819563	Normal	Digestive System
14-1083	CRC	GSE137188	14-1083	0	109272174	Solid Tumor	Digestive System
14-114	CRC	GSE137188	14-114	0	90329881	Solid Tumor	Digestive System
14-1251	CRC	GSE137188	14-1251	0	154430050	Solid Tumor	Digestive System
14-1251_Normal	CRC	GSE137188	14-1251_Normal	1	115006957	Normal	Digestive System
14-132	CRC	GSE137188	14-132	0	104686966	Solid Tumor	Digestive System
14-151	CRC	GSE137188	14-151	0	151921808	Solid Tumor	Digestive System
14-151_Normal	CRC	GSE137188	14-151_Normal	1	159188464	Normal	Digestive System
14-258	CRC	GSE137188	14-258	0	98928192	Solid Tumor	Digestive System
14-275	CRC	GSE137188	14-275	0	104004210	Solid Tumor	Digestive System
14-326	CRC	GSE137188	14-326	0	108045087	Solid Tumor	Digestive System
14-328	CRC	GSE137188	14-328	0	107223632	Solid Tumor	Digestive System
14-426	CRC	GSE137188	14-426	0	97620267	Solid Tumor	Digestive System
14-431	CRC	GSE137188	14-431	0	99337407	Solid Tumor	Digestive System
14-442	CRC	GSE137188	14-442	0	100646188	Solid Tumor	Digestive System
14-494	CRC	GSE137188	14-494	0	106122910	Solid Tumor	Digestive System
14-810	CRC	GSE137188	14-810	0	96240840	Solid Tumor	Digestive System
14-91	CRC	GSE137188	14-91	0	84180225	Solid Tumor	Digestive System
15-1382	CRC	GSE137188	15-1382	0	98217331	Solid Tumor	Digestive System
15-1420	CRC	GSE137188	15-1420	0	103755746	Solid Tumor	Digestive System
15-418	CRC	GSE137188	15-418	0	91229779	Solid Tumor	Digestive System
15-446	CRC	GSE137188	15-446	0	101884332	Solid Tumor	Digestive System
16-178	CRC	GSE137188	16-178	0	98856677	Solid Tumor	Digestive System
16-178_Normal	CRC	GSE137188	16-178_Normal	1	92658122	Normal	Digestive System
22RV1	PRAD	GSE118514	22Rv1	0	119835106	Solid Tumor	Reproductive System
22RV1_2	PRAD	GSE118629	22Rv1	0	119835102	Solid Tumor	Reproductive System
22RV1_3	PRAD	GSE143370	22Rv1	0	56649929	Solid Tumor	Reproductive System
293TRex	NUT	GSE133163	293TRex	1	296176578	Normal	Epithelial tumors
3neg_patient1	BRCA	GSE167150	3neg_patient1	0	78774063	Solid Tumor	Reproductive System
3neg_patient2	BRCA	GSE167150	3neg_patient2	0	65909622	Solid Tumor	Reproductive System
3neg_patient3	BRCA	GSE167150	3neg_patient3	0	70420736	Solid Tumor	Reproductive System
42MGBA	GBM	GSE240343	42MGBA	0	57960380	Solid Tumor	Central Nervous System
5534N	NSCLC	PRJCA000333	5534N	1	40228477	Normal	Epithelial tumors
5534T	NSCLC	PRJCA000333	5534T	0	96250681	Solid Tumor	Epithelial tumors
6405N	NSCLC	PRJCA000333	6405N	1	33646777	Normal	Epithelial tumors
6405T	NSCLC	PRJCA000333	6405T	0	35212296	Solid Tumor	Epithelial tumors
697	B-ALL	GSE190843	697	0	31416199	Hematological (Leukemia)	Hematological
786M1A	RCC	GSE99051	786-M1A	0	39121758	Solid Tumor	Urinary System
786O	RCC	GSE99051	786-O	0	50846021	Solid Tumor	Urinary System
A001C007	CRC	GSE207951	A001C007	1	42156301	Normal	Digestive System
A001C008	CRC	GSE207951	A001C008	1	46449643	Normal	Digestive System
A001C011	CRC	GSE207951	A001C011	1	35671485	Normal	Digestive System
A001C013	CRC	GSE207951	A001C013	1	41965036	Normal	Digestive System
A001C019	CRC	GSE207951	A001C019	1	38901517	Normal	Digestive System
A001C023	CRC	GSE207951	A001C023	1	29899150	Normal	Digestive System
A001C024	CRC	GSE207951	A001C024	1	39185941	Normal	Digestive System
A002C001	CRC	GSE207951	A002C001	1	29755153	Normal	Digestive System
A002C002	CRC	GSE207951	A002C002	1	23993446	Normal	Digestive System
A002C006	CRC	GSE207951	A002C006	1	21702414	Normal	Digestive System
A002C010	CRC	GSE207951	A002C010	1	31550036	Normal	Digestive System
A002C012	CRC	GSE207951	A002C012	1	24716017	Normal	Digestive System
A002C013	CRC	GSE207951	A002C013	1	27896686	Normal	Digestive System
A002C122	CRC	GSE207951	A002C122	1	26770506	Normal	Digestive System
