avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
10000	6.59e-08	0.00e+00	617617	4877386
15000	3.80e-08	0.00e+00	617593	2811319
22499	2.38e-08	0.00e+00	1235114	3520331
32499	1.58e-08	0.00e+00	1235018	2333925
44999	1.13e-08	0.00e+00	1852347	2519320
62499	8.24e-09	0.00e+00	2469460	2438483
87499	6.08e-09	0.00e+00	3703470	2697502
119999	4.71e-09	0.00e+00	4319623	2436750
157498	3.92e-09	0.00e+00	4935272	2321907
202498	3.42e-09	0.00e+00	6166930	2528948
252498	3.10e-09	0.00e+00	6164530	2292149
304998	2.89e-09	0.00e+00	6778211	2349300
362497	2.73e-09	0.00e+00	7391100	2415050
422497	2.60e-09	0.00e+00	7387644	2301049
484997	2.49e-09	0.00e+00	7999381	2392655
549997	2.40e-09	0.00e+00	7995325	2298955
617496	2.32e-09	0.00e+00	8605814	2391493
687496	2.24e-09	0.00e+00	8601110	2307349
759996	2.16e-09	0.00e+00	9210255	2389638
834996	2.10e-09	0.00e+00	9204855	2312616
912495	2.02e-09	0.00e+00	9812560	2380236
992495	1.96e-09	0.00e+00	9806416	2305048
1074995	1.90e-09	0.00e+00	10412585	2370821
1159995	1.84e-09	0.00e+00	10405649	2291599
1247494	1.78e-09	0.00e+00	11010186	2343333
1337494	1.71e-09	0.00e+00	11002410	2260069
1429994	1.66e-09	0.00e+00	11605219	2303925
1527493	1.60e-09	0.00e+00	12206660	2344875
1627493	1.54e-09	0.00e+00	12197060	2257361
1729992	1.49e-09	0.00e+00	12796581	2282997
1837492	1.44e-09	0.00e+00	13394590	2304658
1949991	1.38e-09	0.00e+00	13991015	2316057
2067490	1.33e-09	0.00e+00	14585784	2321121
2189989	1.27e-09	0.00e+00	15178825	2315451
2317488	1.22e-09	0.00e+00	15770066	2307099
2447488	1.17e-09	0.00e+00	15753842	2217195
2582487	1.12e-09	0.00e+00	16947532	2285420
2724986	1.08e-09	0.00e+00	17532965	2269197
2872485	1.03e-09	0.00e+00	18116310	2245718
3024984	9.95e-10	0.00e+00	18697495	2230131
3182483	9.53e-10	0.00e+00	19276448	2203195
3347480	9.17e-10	0.00e+00	20454298	2247584
3519979	8.84e-10	0.00e+00	21026915	2227343
3697478	8.50e-10	0.00e+00	21597012	2201854
3882475	8.18e-10	0.00e+00	22763102	2232248
4074974	7.91e-10	0.00e+00	23326095	2212673
4272473	7.65e-10	0.00e+00	23886280	2191778
4474971	7.42e-10	0.00e+00	24443585	2174226
4682470	7.21e-10	0.00e+00	24997938	2160018
4894968	7.01e-10	0.00e+00	25549267	2145731
