avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
20000	1.21e-07	0.00e+00	308789	798018
30000	7.42e-08	0.00e+00	308765	489300
44999	4.90e-08	0.00e+00	617458	645735
64999	3.42e-08	0.00e+00	617362	450713
89999	2.57e-08	0.00e+00	925863	508482
124999	1.98e-08	0.00e+00	1234148	521825
164999	1.62e-08	0.00e+00	1233764	427523
209998	1.40e-08	0.00e+00	1541665	462559
259998	1.25e-08	0.00e+00	1541065	412440
314997	1.15e-08	0.00e+00	1848486	452587
374997	1.07e-08	0.00e+00	1847622	420891
439996	1.00e-08	0.00e+00	2154467	461139
509996	9.45e-09	0.00e+00	2153291	434782
579996	9.01e-09	0.00e+00	2152115	414311
654995	8.63e-09	0.00e+00	2458120	453022
734995	8.29e-09	0.00e+00	2456584	435183
814995	7.95e-09	0.00e+00	2455048	416652
894995	7.71e-09	0.00e+00	2453512	403834
979994	7.43e-09	0.00e+00	2758365	437686
1069994	7.18e-09	0.00e+00	2756421	422991
1159994	6.98e-09	0.00e+00	2754477	410842
1249994	6.77e-09	0.00e+00	2752533	398325
1344993	6.58e-09	0.00e+00	3056090	429574
1444993	6.36e-09	0.00e+00	3053690	414907
1544993	6.21e-09	0.00e+00	3051290	404466
1644993	6.04e-09	0.00e+00	3048890	393536
1749992	5.90e-09	0.00e+00	3351007	422317
1859992	5.73e-09	0.00e+00	3348103	409549
1969992	5.59e-09	0.00e+00	3345199	399451
2084990	5.46e-09	0.00e+00	3645996	425574
2204990	5.32e-09	0.00e+00	3642540	413763
2324990	5.19e-09	0.00e+00	3639084	403750
2444990	5.07e-09	0.00e+00	3635628	393399
2569988	4.93e-09	0.00e+00	3934697	414701
2699988	4.82e-09	0.00e+00	3930641	404872
2829988	4.72e-09	0.00e+00	3926585	396149
2959988	4.60e-09	0.00e+00	3922529	385158
3094987	4.50e-09	0.00e+00	4219726	405312
3234987	4.38e-09	0.00e+00	4215022	394759
3374987	4.29e-09	0.00e+00	4210318	386088
3519985	4.20e-09	0.00e+00	4505835	404267
3669985	4.10e-09	0.00e+00	4500435	394258
3819985	4.01e-09	0.00e+00	4495035	385407
3969985	3.93e-09	0.00e+00	4489635	376630
4124982	3.84e-09	0.00e+00	4782992	392337
4284982	3.75e-09	0.00e+00	4776848	382432
4444982	3.68e-09	0.00e+00	4770704	375333
4604982	3.59e-09	0.00e+00	4764560	365156
4764982	3.52e-09	0.00e+00	4758416	357552
4924982	3.46e-09	0.00e+00	4752272	351162
