Run	GEO_Accession (exp)	STAGE	tissue	Bases
SRR20082342	GSM6326543	AdeCa	colon	1.90721E+11
SRR20082343	GSM6326544	Polyp	colon	2.15162E+11
SRR20082344	GSM6326545	Polyp	colon	2.15406E+11
SRR20082345	GSM6326547	Polyp	colon	1.78014E+11
SRR20082346	GSM6326548	Polyp	colon	2.45828E+11
SRR20082347	GSM6326549	Mucosa	colon	2.14801E+11
SRR20082348	GSM6326551	Mucosa	colon	2.35142E+11
SRR20082349	GSM6326552	Polyp	colon	2.5842E+11
SRR20082350	GSM6326554	Polyp	colon	2.30234E+11
SRR20082351	GSM6326555	Polyp	colon	2.04254E+11
SRR20082352	GSM6326556	Polyp	colon	2.61806E+11
SRR20082353	GSM6326558	Polyp	colon	2.09789E+11
SRR20082354	GSM6326559	Polyp	colon	2.51109E+11
SRR20082355	GSM6326560	Mucosa	colon	2.32296E+11
SRR20082356	GSM6326561	Mucosa	colon	
SRR20082357	GSM6326562	Polyp	colon	2.52503E+11
SRR20082358	GSM6326564	Polyp	colon	1.95061E+11
SRR20082359	GSM6326565	Polyp	colon	2.19707E+11
SRR20082360	GSM6326566	Polyp	colon	1.75972E+11
SRR20082366	GSM6326575	Polyp	colon	90617022230
SRR20082367	GSM6326576	Polyp	colon	2.26067E+11
SRR20082361	GSM6326568	Polyp	colon	1.4722E+11
SRR20082362	GSM6326569	Polyp	colon	1.69837E+11
SRR20082363	GSM6326571	Polyp	colon	2.10539E+11
SRR20082364	GSM6326572	Mucosa	colon	2.1938E+11
SRR20082365	GSM6326573	Mucosa	colon	2.13044E+11
SRR20082368	GSM6326578	Mucosa	colon	2.27873E+11
SRR20082369	GSM6326579	AdeCa	colon cancer	2.27812E+11
SRR20082370	GSM6326580	AdeCa	colon cancer	1.82614E+11
SRR20082371	GSM6326582	AdeCa	colon cancer	2.00803E+11
SRR20082372	GSM6326583	AdeCa	colon cancer	2.15619E+11
SRR20082373	GSM6326585	AdeCa	colon cancer	2.08165E+11
SRR20082374	GSM6326586	AdeCa	colon cancer	2.57268E+11
