GSM6326543	A001C007
GSM6326544	A001C008
GSM6326545	A001C011
GSM6326547	A001C013
GSM6326548	A001C019
GSM6326549	A001C023
GSM6326551	A001C024
GSM6326552	A002C001
GSM6326554	A002C002
GSM6326555	A002C006
GSM6326556	A002C010
GSM6326558	A002C012
GSM6326559	A002C013
GSM6326560	A002C122
GSM6326561	A002C212
GSM6326562	A014C004
GSM6326564	A014C012
GSM6326565	A014C038
GSM6326566	A014C040
GSM6326568	A014C041
GSM6326569	A014C045
GSM6326571	A014C046
GSM6326572	A014C053
GSM6326573	A014C054
GSM6326575	A015C004
GSM6326576	A015C006
GSM6326578	A015C010
GSM6326579	CRC15157
GSM6326580	CRC19779
GSM6326582	CRC25135
GSM6326583	CRC25988
GSM6326585	CRC26616
GSM6326586	CRC8396
