sample	subtype	dataset
ts543	Proneural	Our
ts667	Proneural	Our
A172	Mesenchymal	Xu et al
A1722	Mesenchymal	unpublished
GB176	Unknown	Harewood et al
GB180	Unknown	Harewood et al
GB182	Unknown	Harewood et al
GB183	Unknown	Harewood et al
GB238	Unknown	Harewood et al
SW1088	Mesenchymal	Xu et al
U118	Mesenchymal	Xu et al
U343	Mesenchymal	Xu et al
U87	Mesenchymal	Xu et al
U251	Mesenchymal	Chen et al
42MGBA	Mesenchymal	Cheng et al
H4	Mesenchymal	Cheng et al
G523	Unknown	Johnson et al
G567	Unknown	Johnson et al
G583	Unknown	Johnson et al
G1	Classical	Xie et al
G120	Classical	Xie et al
G148	Proneural	Xie et al
G163	Unknown	Xie et al
G171	Classical	Xie et al
G181	Classical	Xie et al
G208	Classical	Xie et al
G213	Classical	Xie et al
G23	Classical	Xie et al
G275	Mesenchymal	Xie et al
G275R	Mesenchymal	Xie et al
G28	Proneural	Xie et al
G318	Mesenchymal	Xie et al
G323	Mesenchymal	Xie et al
G351	Mesenchymal	Xie et al
G390	Mesenchymal	Xie et al
G394	Classical	Xie et al
G402	Classical	Xie et al
G402R	Classical	Xie et al
G412	Classical	Xie et al
G412R	Classical	Xie et al
G450	Mesenchymal	Xie et al
G452C	Proneural	Xie et al
G452P	Unknown	Xie et al
G457	Classical	Xie et al
G61	Classical	Xie et al
G62	Unknown	Xie et al
G83	Classical	Xie et al
P455.SF11901	Unknown	Mathur et al
P475.SF12180	Unknown	Mathur et al
P498.SF12251	Classical	Mathur et al
P503.SF12518	Unknown	Mathur et al
P519.SF12601	Unknown	Mathur et al
P521.SF12631	Classical	Mathur et al
P524.SF12681v1	Neural	Mathur et al
P524.SF12681v4	Classical	Mathur et al
P524.SF12681v9	Classical	Mathur et al
P529.SF12794v1-1	Classical	Mathur et al
P529.SF12794v6-1	Classical	Mathur et al
P529.SF12794v8-1	Classical	Mathur et al
P530.SF12822v10	Proneural	Mathur et al
P530.SF12822v13	Proneural	Mathur et al
P530.SF12822v14	Proneural	Mathur et al
P530.SF12822v15	Neural	Mathur et al
P530.SF12822v18	Neural	Mathur et al
P530.SF12822v19	Neural	Mathur et al
P530.SF12822v2	Classical	Mathur et al
P530.SF12822v4	Mesenchymal	Mathur et al
P530.SF12822v5	Proneural	Mathur et al
