ENTITY_STABLE_ID	NAME	C3N-02770	C3L-02970	C3N-01364	C3N-02782	C3L-04084	C3N-01798	C3N-02783	C3N-01814	C3L-02708	C3L-01049	C3N-01505	C3L-02984	C3N-01815	C3N-03182	C3N-03186	C3N-03088	C3N-02186	C3L-01045	C3L-02705	C3L-02707	C3L-03968	C3N-00663	C3N-01517	C3L-03748	C3N-00665	C3N-02188	C3L-01157	C3N-02769	C3N-02788	C3N-03184	C3N-01856	C3N-02185	C3L-03681	C3L-00365	C3L-00677	C3L-01149	C3N-01515	C3N-02183	C3L-03266	C3L-01043	C3L-00674	C3L-03727	C3N-01816	C3N-01192	C3L-03728	C3N-02181	C3L-02704	C3N-01852	C3N-03180	C3N-02256	C3N-03183	C3L-02041	C3L-01887	C3N-03188	C3L-03407	C3N-02785	C3N-02190	C3N-01334	C3N-02255	C3N-02784	C3L-02642	C3N-01369	C3L-02900	C3N-01518	C3L-02465	C3N-02786	C3L-02504	C3N-03070	C3N-00662	C3L-01048	C3N-01196	C3N-01368	C3L-02542	C3N-00661	C3N-01818
2-hydroxybutyric_acid	2-hydroxybutyric acid	22.113	22.948	20.966	21.644	20.265	22.182	21.671	20.248	21.252	21.201	21.614	21.942	21.201	21.985	21.121	21.413	22.16	20.778	21.783	21.149	20.64	22.078	21.226	21.822	21.499	20.648	22.588	22.585	21.628	21.201	21.761	21.956	22.148	21.352	23.076	20.901	22.372	21.854	21.797	21.575	21.501	21.336	20.997	22.409	22.109	22.058	20.911	22.388	21.677	22.577	21.197	21.983	21.355	21.209	22.57	22.525	22.007	21.929	21.21	21.201	21.309	21.782	22.607	22.354	22.114	22.567	21.223	21.709	20.712	21.326	21.789	21.863	21.254	22.238	20.359
2-hydroxyglutaric_acid	2-hydroxyglutaric acid	21.204	22.786	20.71	21.563	21.152	21.17	21.446	21.301	26.907	20.536	21.383	26.576	22.207	21.386	21.485	20.935	20.977	20.812	20.067	20.769	21.572	25.965	20.501	21.131	21.875	21.217	22.696	21.326	21.409	21.729	21.312	21.318	22.186	22.067	21.05	20.265	21.946	21.194	21.301	20.932	20.905	20.603	21.772	21.04	20.652	21.907	20.625	21.499	22.136	21.387	21.206	26.08	20.943	21.423	21.349	20.978	20.858	21.117	21.662	21.207	20.964	22.062	26.636	20.946	21.232	21.965	20.871	25.827	21.365	21.541	21.611	21.143	22.201	20.751	22.268
3-hydroxybutyric_acid	3-hydroxybutyric acid	22.203	22.058	21.43	23.094	21.665	22.316	21.186	21.998	22.017	21.82	21.583	19.556	21.163	22.99	23.512	22.427	21.912	23.079	21.606	21.794	22.768	21.269	21.398	22.554	23.153	20.477	21.914	23.095	21.966	20.971	21.86	21.318	20.954	22.042	23.77	21.749	21.41	20.836	21.21	21.828	21.558	23.296	21.997	21.916	23.302	21.754	21.668	21.55	23.146	21.343	21.722	21.748	22.086	20.834	22.291	21.173	21.48	22.292	23.811	22.043	20.296	22.465	23.064	22.3	21.39	21.57	21.103	21.109	20.895	21.291	20.942	22.06	23.85	21.464	20.254
3-phosphoglycerate	3-phosphoglycerate	21.016	20.777	21.043	21.499	21.397	21.201	21.342	20.791	22.297	20.711	22.572	21.3	19.077	20.475	20.723	20.684	21.429	21.704	21.514	21.516	21.246	21.972	21.061	21.404	21.448	20.972	21.201	20.883	20.769	21.002	20.337	20.711	20.769	21.856	21.054	18.734	21.207	20.577	21.193	22.358	21.841	20.95	20.81	21.897	20.387	20.793	20.729	21.547	21.269	21.883	21.449	21.62	21.178	21.341	20.287	21.322	21.405	21.017	21.193	20.722	19.691	21.169	21.543	20.516	21.211	21.241	20.596	21.231	20.817	22.008	20.759	20.907	20.468	21.413	19.132
adenine	adenine	NA	NA	16.525	NA	17.874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.711	NA	NA	NA	NA	NA	NA	NA	17.353	NA	19.117	NA	NA	NA	19.925	NA	17.698	18.881	18.907	NA	NA	NA	NA	NA	18.211	17.162	NA	NA	NA	17.288	18.299	19.634	NA	NA	NA	NA	17.901	NA	NA	NA	NA	NA	19.164	NA	NA	NA	NA	NA	18.2	NA	NA	NA	NA	16.778	NA	20.104	20.64	NA	NA	NA
aminomalonic_acid_(spectralmatch)	aminomalonic acid (spectralmatch)	22.076	20.704	22.147	22.173	23.326	22.296	20.12	21.957	21.193	22.62	22.376	17.814	23.32	22.132	22.369	21.339	21.784	22.22	21.369	22.339	22.105	21.124	23.279	22.877	23.123	23.464	23.61	21.138	23.013	22.466	21.198	22.605	20.439	22.512	20.806	22.777	22.406	22.401	21.523	23.176	21.971	21.603	22.048	22.01	22.033	22.26	23.495	21.96	22.669	22.356	21.658	22.051	21.212	21.311	20.322	22.903	22.768	22.45	22.671	22.386	21.372	21.135	22.418	23.185	21.956	21.973	21.987	23.107	22.483	23.112	23.487	22.662	22.419	21.789	20.96
campesterol	campesterol	18.743	18.829	18.918	18.142	18.6	19.067	18.773	18.29	16.146	17.642	19.228	NA	20.413	18.741	17.993	20.987	18.88	18.682	18.725	17.604	17.894	17.955	18.397	18.54	20.173	18.798	NA	18.684	20.065	17.823	19.244	16.889	17.299	15.391	19.627	19.466	19.771	21.209	19.102	18.499	19.808	18.199	18.225	20.498	19.728	19.167	18.321	19.869	20.851	NA	17.994	17.7	16.722	18.562	14.968	20.879	18.505	19.312	20.516	19.766	19.795	21.801	17.769	18.559	NA	19.281	14.532	18.962	20.188	15.362	19.456	18.74	17.616	19.718	NA
capricacid	capricacid	19.048	20.955	20.938	21.264	20.106	17.577	21.217	17.964	18.202	19.494	18.91	18.125	18.579	21.472	19.773	17.95	20.636	19.448	17.573	18.393	NA	18.715	17.707	17.995	18.031	21.814	21.538	20.436	17.263	19.682	18.679	18.86	22.198	17.11	18.111	19.568	19.237	17.351	16.925	21.997	NA	18.116	16.903	19.548	16.937	19.854	20.203	18.571	22.367	18.691	20.978	17.914	18.058	20.817	15.604	16.853	20.827	18.449	17.676	18.642	16.524	13.413	17.822	16.379	16.364	21.296	17.968	17.04	17.755	19.752	18.213	18.129	17.503	18.361	17.241
cholesterol_(spectral_match)	cholesterol (spectral match)	25.661	26.537	25.363	25.441	25.158	25.286	25.25	25.163	25.446	25.554	26.064	26.505	26.864	25.676	26.546	24.446	25.853	26.284	25.744	25.573	26.095	25.637	25.075	25.013	25.399	24.993	26.229	25.652	25.858	25.062	26.018	25.607	23.336	25.022	25.408	25.265	25.854	25.971	25.771	25.457	26.163	25.376	25.103	26.01	25.46	25.962	24.938	25.762	27.397	25.775	24.854	24.671	26.145	26.186	25.182	25.554	25.777	24.897	25.616	24.956	25.109	27.329	24.996	25.398	24.986	25.757	24.885	25.232	25.389	25.629	25.037	24.91	25.572	25.725	26.129
citricacid	citricacid	21.042	21.874	21.174	21.641	21.733	21.14	21.554	21.36	21.082	21.52	21.326	21.971	22.267	20.103	21.112	21.327	21.745	19.19	21.335	21.819	21.952	22.169	21.651	21.824	21.477	21.724	21.26	21.51	21.201	21.189	21.915	21.313	21.059	21.563	20.074	20.636	21.99	21.878	20.668	21.165	21.053	21.285	21.404	22.266	21.751	22.034	21.444	21.479	22.017	21.721	21.531	21.902	21.05	21.194	22.418	21.448	21.778	20.943	21.379	21.345	21.201	21.695	21.363	21.568	21.174	21.685	21.471	21.605	21.977	19.652	21.708	20.819	22.187	21.338	20.789
creatinine	creatinine	21.927	20.716	21.493	20.725	21.502	21.87	20.664	21.368	20.264	21.025	18.799	22.63	21.202	21.025	20.996	21.971	21.639	20.842	20.788	22.046	20.101	21.139	20.47	20.979	19.499	21.08	22.271	20.226	22.111	20.931	20.334	22.283	20.165	20.382	21.859	22.43	20.984	21.37	21.109	20.455	20.836	21.268	21.557	19.143	20.704	19.595	20.511	21.388	21.673	23.342	20.585	21.031	22.191	22.516	19.568	21.894	20.975	21.656	21.88	21.844	21.952	18.974	21.909	20.361	21.571	20.349	19.767	21.368	22.017	21.893	18.822	20.778	22.453	19.315	21.329
D_(+)_galactose	D (+) galactose	25.488	19.163	20.304	21.527	19.263	18.337	21.555	19.298	22.316	20.424	22.301	21.383	19.855	25.274	18.341	18.36	20.091	17.377	23.261	21.24	21.268	20.93	19.321	21.285	21.743	19.914	18.983	19.996	21.297	18.543	19.708	16.845	22.232	22.399	19.107	16.601	21.201	16.937	21.314	18.59	23.055	26.155	16.36	18.541	20.182	18.855	22.714	20.708	18.277	19.927	20.252	21.017	19.535	18.463	23.503	21.098	18.361	21.604	22.067	18.842	18.259	19.882	20.095	19.939	20.922	18.518	21.159	22.316	16.993	17.99	18.96	22.361	17.521	18.855	18.407
dehydroascorbic_acid	dehydroascorbic acid	NA	NA	20.989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.089	NA	NA	NA	NA	NA	NA	NA	NA	21.574	NA	NA	22.409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.911	NA	NA	19.598	NA	22.222	NA	NA	NA	NA	NA	NA	NA	NA	21.336	NA	NA	NA	NA	NA	NA	19.08	NA	NA	NA	19.918	NA	20.941	NA	21.045	NA	NA	NA	NA	NA
D-fructose-6-phosphate	D-fructose-6-phosphate	19.614	23.397	17.93	22.174	21.235	20.937	21.843	21.201	19.992	20.919	19.835	22.166	22.66	19.06	19.792	20.875	21.668	21.852	20.237	22.141	19.465	20.836	19.898	20.881	20.141	22.034	22.302	20.151	22.612	22.845	20.445	19.801	22.745	21.878	19.835	14.836	19.785	19.639	21.343	20.69	19.973	20.783	20.023	20.618	21.201	21.175	22.749	19.793	19.619	21.081	20.935	21.955	20.121	20.801	21.256	19.167	20.486	20.587	21.953	22.05	22.087	19.012	23.742	20.917	21.997	21.292	21.988	19.509	20.039	19.862	21.775	22.891	19.441	20.091	20.623
D-gluconic_acid	D-gluconic acid	16.216	23.674	22.804	22.999	22.766	22.739	15.986	22.769	23.269	22.788	20.707	23.178	23.39	23.335	23.822	23.03	19.774	17.806	22.735	20.36	23.061	23.188	19.949	16.911	20.199	22.615	17.242	23.469	17.224	22.561	20.237	22.923	20.828	16.239	22.534	23.327	15.877	22.677	22.431	16.753	17.088	22.45	23.409	17.756	23.901	23.754	22.941	23.495	20.463	21.791	23.274	23.211	23.114	23.128	22.212	15.729	22.964	16.879	23.066	22.055	22.227	19.943	21.215	22.898	22.165	23.343	22.878	21.528	19.853	23.406	21.927	19.938	23.897	23.729	24.571
D-glucose	D-glucose	20.821	22.958	23.83	24.676	22.691	21.96	24.771	21.979	25.759	24.531	25.636	24.771	23.488	20.136	21.332	20.288	23.526	23.008	25.992	24.726	24.69	24.407	22.952	24.484	25.1	23.44	22.515	23.309	24.491	22.958	23.336	20.869	25.146	25.629	21.394	19.285	24.587	21.065	24.498	23.778	26.061	21.211	20.223	22.461	23.338	22.487	25.558	23.815	22.534	23.471	23.851	24.27	23.171	22.511	25.855	24.264	21.866	24.828	25.402	22.502	21.778	23.683	23.846	23.285	24.311	22.494	24.571	25.708	21.448	22.353	22.672	25.341	22.003	22.291	22.239
