"id"	"sample"	"srr"	"path"	"subtype"	"dataset"	"kmeans"
"42MGBA"	"42MGBA_1"	"SRR25591306"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/42MGBA/SRR25591306/rsem_out/SRR25591306.genes.results"	"Mesenchymal"	"Cheng et al"	1
"42MGBA"	"42MGBA_2"	"SRR25591307"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/42MGBA/SRR25591307/rsem_out/SRR25591307.genes.results"	"Mesenchymal"	"Cheng et al"	1
"42MGBA"	"42MGBA_3"	"SRR25591308"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/42MGBA/SRR25591308/rsem_out/SRR25591308.genes.results"	"Mesenchymal"	"Cheng et al"	1
"A172"	"A172_2"	"SRR8893598"	"/cluster/home/futing/Project/GBM/RNA/sample/A172/rsem_out/SRR8893598.genes.results"	"Mesenchymal"	"Xu et al"	1
"A172"	"A172_3"	"SRR8893601"	"/cluster/home/futing/Project/GBM/RNA/sample/A172/rsem_out/SRR8893601.genes.results"	"Mesenchymal"	"Xu et al"	1
"A172"	"A172_1"	"SRR8893597"	"/cluster/home/futing/Project/GBM/RNA/sample/A172/rsem_out/SRR8893597.genes.results"	"Mesenchymal"	"Xu et al"	1
"G1"	"G1"	NA	NA	"Classical"	"Xie et al"	3
"G120"	"G120"	NA	NA	"Classical"	"Xie et al"	3
"G148"	"G148"	NA	NA	"Proneural"	"Xie et al"	2
"G163"	"G163"	NA	NA	"Unknown"	"Xie et al"	3
"G171"	"G171"	NA	NA	"Classical"	"Xie et al"	3
"G181"	"G181"	NA	NA	"Classical"	"Xie et al"	3
"G208"	"G208"	NA	NA	"Classical"	"Xie et al"	2
"G213"	"G213"	NA	NA	"Classical"	"Xie et al"	3
"G23"	"G23"	NA	NA	"Classical"	"Xie et al"	3
"G275"	"G275"	NA	NA	"Mesenchymal"	"Xie et al"	1
"G275R"	"G275R"	NA	NA	"Mesenchymal"	"Xie et al"	1
"G28"	"G28"	NA	NA	"Proneural"	"Xie et al"	3
"G318"	"G318"	NA	NA	"Mesenchymal"	"Xie et al"	1
"G323"	"G323"	NA	NA	"Mesenchymal"	"Xie et al"	1
"G351"	"G351"	NA	NA	"Mesenchymal"	"Xie et al"	1
"G390"	"G390"	NA	NA	"Mesenchymal"	"Xie et al"	1
"G394"	"G394"	NA	NA	"Classical"	"Xie et al"	3
"G402"	"G402"	NA	NA	"Classical"	"Xie et al"	3
"G402R"	"G402R"	NA	NA	"Classical"	"Xie et al"	3
"G412"	"G412"	NA	NA	"Classical"	"Xie et al"	3
"G412R"	"G412R"	NA	NA	"Classical"	"Xie et al"	3
"G450"	"G450"	NA	NA	"Mesenchymal"	"Xie et al"	1
"G452C"	"G452C"	NA	NA	"Proneural"	"Xie et al"	3
"G452P"	"G452P"	NA	NA	"Unknown"	"Xie et al"	3
"G457"	"G457"	NA	NA	"Classical"	"Xie et al"	1
"G61"	"G61"	NA	NA	"Classical"	"Xie et al"	3
"G62"	"G62"	NA	NA	"Unknown"	"Xie et al"	3
"G83"	"G83"	NA	NA	"Classical"	"Xie et al"	1
"H4"	"H4_2"	"SRR25591313"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/H4/SRR25591313/rsem_out/SRR25591313.genes.results"	"Mesenchymal"	"Cheng et al"	1
"H4"	"H4_3"	"SRR25591314"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/H4/SRR25591314/rsem_out/SRR25591314.genes.results"	"Mesenchymal"	"Cheng et al"	1
"H4"	"H4_1"	"SRR25591312"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/H4/SRR25591312/rsem_out/SRR25591312.genes.results"	"Mesenchymal"	"Cheng et al"	1
"iPSC"	"iPSC_3"	"SRR16242106"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/iPSC/SRR16242106/rsem_out/SRR16242106.genes.results"	"iPSC"	"Our"	NA
"iPSC"	"iPSC_2"	"SRR16242105"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/iPSC/SRR16242105/rsem_out/SRR16242105.genes.results"	"iPSC"	"Our"	NA
"iPSC"	"iPSC_1"	"SRR16242104"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/iPSC/SRR16242104/rsem_out/SRR16242104.genes.results"	"iPSC"	"Our"	NA
"NHA"	"NHA_3"	"SRR13238399"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/NHA/SRR13238399/rsem_out/SRR13238399.genes.results"	"NHA"	NA	NA
"NHA"	"NHA_1"	"SRR13238397"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/NHA/SRR13238397/rsem_out/SRR13238397.genes.results"	"NHA"	NA	NA
"NHA"	"NHA_2"	"SRR13238398"	"/cluster/home/futing/Project/GBM/RNA/sample/20240830/analysis/NHA/SRR13238398/rsem_out/SRR13238398.genes.results"	"NHA"	NA	NA
"NPC"	"NPC_2"	"SRR16242111"	"/cluster/home/futing/Project/GBM/RNA/NPC/rsem_out/SRR16242111.genes.results"	"NPC"	"Our"	NA
"NPC"	"NPC_1"	"SRR16242110"	"/cluster/home/futing/Project/GBM/RNA/NPC/rsem_out/SRR16242110.genes.results"	"NPC"	"Our"	NA
"NPC"	"NPC_3"	"SRR16242112"	"/cluster/home/futing/Project/GBM/RNA/NPC/rsem_out/SRR16242112.genes.results"	"NPC"	"Our"	NA
"P455.SF11901v1"	"P455.SF11901v1"	NA	NA	"Neural"	"Mathur et al"	NA
"P455.SF11901v10"	"P455.SF11901v10"	NA	NA	"Neural"	"Mathur et al"	NA
"P455.SF11901v2"	"P455.SF11901v2"	NA	NA	"Neural"	"Mathur et al"	NA
"P455.SF11901v3"	"P455.SF11901v3"	NA	NA	"Proneural"	"Mathur et al"	NA
"P455.SF11901v4"	"P455.SF11901v4"	NA	NA	"Proneural"	"Mathur et al"	NA
"P455.SF11901v5"	"P455.SF11901v5"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P455.SF11901v6"	"P455.SF11901v6"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P455.SF11901v7"	"P455.SF11901v7"	NA	NA	"Proneural"	"Mathur et al"	NA
"P455.SF11901v8"	"P455.SF11901v8"	NA	NA	"Proneural"	"Mathur et al"	NA
"P455.SF11901v9"	"P455.SF11901v9"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P475.SF12180v1"	"P475.SF12180v1"	NA	NA	"Proneural"	"Mathur et al"	NA
"P475.SF12180v2"	"P475.SF12180v2"	NA	NA	"Proneural"	"Mathur et al"	NA
"P475.SF12180v3"	"P475.SF12180v3"	NA	NA	"Proneural"	"Mathur et al"	NA
"P475.SF12180v4"	"P475.SF12180v4"	NA	NA	"Neural"	"Mathur et al"	NA
"P475.SF12180v5"	"P475.SF12180v5"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P475.SF12180v6"	"P475.SF12180v6"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P475.SF12180v7"	"P475.SF12180v7"	NA	NA	"Neural"	"Mathur et al"	NA
"P475.SF12180v8"	"P475.SF12180v8"	NA	NA	"Mesenchymal"	"Mathur et al"	NA
"P498.SF12251v1"	"P498.SF12251v1"	NA	NA	"Neural"	"Mathur et al"	NA
"P498.SF12251v10"	"P498.SF12251v10"	NA	NA	"Classical"	"Mathur et al"	NA
"P498.SF12251v2"	"P498.SF12251v2"	NA	NA	"Classical"	"Mathur et al"	NA
"P498.SF12251v3"	"P498.SF12251v3"	NA	NA	"Classical"	"Mathur et al"	NA
"P498.SF12251v4"	"P498.SF12251v4"	NA	NA	"Classical"	"Mathur et al"	NA
"P498.SF12251v5"	"P498.SF12251v5"	NA	NA	"Classical"	"Mathur et al"	NA
