"sample"	"V3"	"id"	"group"
"G1"	"G1"	"G1"	"G1"
"G120"	"G120"	"G120"	"G120"
"G148"	"G148"	"G148"	"G148"
"G163"	"G163"	"G163"	"G163"
"G171"	"G171"	"G171"	"G171"
"G181"	"G181"	"G181"	"G181"
"G208"	"G208"	"G208"	"G208"
"G213"	"G213"	"G213"	"G213"
"G23"	"G23"	"G23"	"G23"
"G275"	"G275"	"G275"	"G275"
"G275R"	"G275R"	"G275R"	"G275R"
"G28"	"G28"	"G28"	"G28"
"G318"	"G318"	"G318"	"G318"
"G323"	"G323"	"G323"	"G323"
"G351"	"G351"	"G351"	"G351"
"G390"	"G390"	"G390"	"G390"
"G394"	"G394"	"G394"	"G394"
"G402"	"G402"	"G402"	"G402"
"G402R"	"G402R"	"G402R"	"G402R"
"G412"	"G412"	"G412"	"G412"
"G412R"	"G412R"	"G412R"	"G412R"
"G450"	"G450"	"G450"	"G450"
"G452C"	"G452C"	"G452C"	"G452C"
"G452P"	"G452P"	"G452P"	"G452P"
"G457"	"G457"	"G457"	"G457"
"G61"	"G61"	"G61"	"G61"
"G62"	"G62"	"G62"	"G62"
"G83"	"G83"	"G83"	"G83"
"P524.SF12681v1.tophat.genes.results"	"P524.SF12681v1"	"P524.SF12681v1"	"P524.SF12681v1"
"P524.SF12681v10.tophat.genes.results"	"P524.SF12681v10"	"P524.SF12681v10"	"P524.SF12681v10"
"P524.SF12681v2.tophat.genes.results"	"P524.SF12681v2"	"P524.SF12681v2"	"P524.SF12681v2"
"P524.SF12681v4.tophat.genes.results"	"P524.SF12681v4"	"P524.SF12681v4"	"P524.SF12681v4"
"P524.SF12681v5.tophat.genes.results"	"P524.SF12681v5"	"P524.SF12681v5"	"P524.SF12681v5"
"P524.SF12681v6.tophat.genes.results"	"P524.SF12681v6"	"P524.SF12681v6"	"P524.SF12681v6"
"P524.SF12681v7.tophat.genes.results"	"P524.SF12681v7"	"P524.SF12681v7"	"P524.SF12681v7"
"P524.SF12681v8.tophat.genes.results"	"P524.SF12681v8"	"P524.SF12681v8"	"P524.SF12681v8"
"P524.SF12681v9.tophat.genes.results"	"P524.SF12681v9"	"P524.SF12681v9"	"P524.SF12681v9"
"P529.SF12794v1.1.tophat.genes.results"	"P529.SF12794v1-1"	"P529.SF12794v1-1"	"P529.SF12794v1-1"
"P529.SF12794v1.2.tophat.genes.results"	"P529.SF12794v1-2"	"P529.SF12794v1-2"	"P529.SF12794v1-2"
"P529.SF12794v10.1.tophat.genes.results"	"P529.SF12794v10-1"	"P529.SF12794v10-1"	"P529.SF12794v10-1"
"P529.SF12794v10.2.tophat.genes.results"	"P529.SF12794v10-2"	"P529.SF12794v10-2"	"P529.SF12794v10-2"
"P529.SF12794v2.tophat.genes.results"	"P529.SF12794v2"	"P529.SF12794v2"	"P529.SF12794v2"
"P529.SF12794v3.1.tophat.genes.results"	"P529.SF12794v3-1"	"P529.SF12794v3-1"	"P529.SF12794v3-1"
"P529.SF12794v3.2.tophat.genes.results"	"P529.SF12794v3-2"	"P529.SF12794v3-2"	"P529.SF12794v3-2"
"P529.SF12794v4.1.tophat.genes.results"	"P529.SF12794v4-1"	"P529.SF12794v4-1"	"P529.SF12794v4-1"
"P529.SF12794v4.2.tophat.genes.results"	"P529.SF12794v4-2"	"P529.SF12794v4-2"	"P529.SF12794v4-2"
"P529.SF12794v5.tophat.genes.results"	"P529.SF12794v5"	"P529.SF12794v5"	"P529.SF12794v5"
"P529.SF12794v6.1.tophat.genes.results"	"P529.SF12794v6-1"	"P529.SF12794v6-1"	"P529.SF12794v6-1"
"P529.SF12794v6.2.tophat.genes.results"	"P529.SF12794v6-2"	"P529.SF12794v6-2"	"P529.SF12794v6-2"
"P529.SF12794v7.1.tophat.genes.results"	"P529.SF12794v7-1"	"P529.SF12794v7-1"	"P529.SF12794v7-1"
"P529.SF12794v7.2.tophat.genes.results"	"P529.SF12794v7-2"	"P529.SF12794v7-2"	"P529.SF12794v7-2"
"P529.SF12794v8.1.tophat.genes.results"	"P529.SF12794v8-1"	"P529.SF12794v8-1"	"P529.SF12794v8-1"
"P529.SF12794v8.2.tophat.genes.results"	"P529.SF12794v8-2"	"P529.SF12794v8-2"	"P529.SF12794v8-2"
"P529.SF12794v9.1.tophat.genes.results"	"P529.SF12794v9-1"	"P529.SF12794v9-1"	"P529.SF12794v9-1"
"P529.SF12794v9.2.tophat.genes.results"	"P529.SF12794v9-2"	"P529.SF12794v9-2"	"P529.SF12794v9-2"
"P530.SF12822v1.tophat.genes.results"	"P530.SF12822v1"	"P530.SF12822v1"	"P530.SF12822v1"
