gene	type	treat	batch
3691_NT.genes.results	GSC	other	batch52
SRR1004840.genes.results	GSC	untreated	batch53
SRR1004841.genes.results	GSC	untreated	batch53
SRR1004842.genes.results	GSC	untreated	batch53
SRR1004843.genes.results	GSC	untreated	batch53
SRR10461717.genes.results	GSC	untreated	batch35
SRR10461718.genes.results	GSC	untreated	batch35
SRR10461723.genes.results	GSC	untreated	batch35
SRR10461724.genes.results	GSC	untreated	batch35
SRR11391677.genes.results	GSC	other	batch33
SRR11611474.genes.results	GSC	other	batch30
SRR11611475.genes.results	GSC	other	batch30
SRR11611476.genes.results	GSC	other	batch30
SRR11843765.genes.results	GSC	other	batch40
SRR11843766.genes.results	GSC	other	batch40
SRR11843767.genes.results	GSC	other	batch40
SRR11843774.genes.results	GSC	other	batch40
SRR11843775.genes.results	GSC	other	batch40
SRR11843776.genes.results	GSC	other	batch40
SRR11843777.genes.results	GSC	other	batch40
SRR11843778.genes.results	GSC	other	batch40
SRR11843779.genes.results	GSC	other	batch40
SRR12056011.genes.results	GSC	other	batch27
SRR12056012.genes.results	GSC	other	batch27
SRR12056013.genes.results	GSC	other	batch27
SRR12145826.genes.results	GSC	untreated	batch17
SRR12145827.genes.results	GSC	untreated	batch17
SRR12145828.genes.results	GSC	untreated	batch17
SRR12145829.genes.results	GSC	untreated	batch17
SRR12145830.genes.results	GSC	untreated	batch17
SRR12145831.genes.results	GSC	untreated	batch17
SRR12145832.genes.results	GSC	untreated	batch17
SRR12145833.genes.results	GSC	untreated	batch17
SRR12145834.genes.results	GSC	untreated	batch17
SRR12145835.genes.results	GSC	untreated	batch17
SRR12404131.genes.results	GSC	other	batch23
SRR12404133.genes.results	GSC	other	batch23
SRR12404135.genes.results	GSC	other	batch23
SRR12404137.genes.results	GSC	other	batch23
SRR12404138.genes.results	GSC	other	batch23
SRR12404139.genes.results	GSC	other	batch23
SRR12539168.genes.results	GSC	other	batch38
SRR12539169.genes.results	GSC	other	batch38
SRR12621191.genes.results	GSC	untreated	batch45
SRR12740497.genes.results	GSC	other	batch39
SRR12740500.genes.results	GSC	other	batch39
SRR12880338.genes.results	GSC	other	batch37
SRR12880339.genes.results	GSC	other	batch37
SRR12880340.genes.results	GSC	other	batch37
SRR13057276.genes.results	GSC	other	batch36
SRR13057277.genes.results	GSC	other	batch36
SRR13057287.genes.results	GSC	untreated	batch36
SRR13057288.genes.results	GSC	untreated	batch36
SRR14698255.genes.results	GSC	other	batch34
SRR14698256.genes.results	GSC	other	batch34
SRR14698259.genes.results	GSC	other	batch34
SRR14698260.genes.results	GSC	other	batch34
SRR14698263.genes.results	GSC	other	batch34
SRR14698264.genes.results	GSC	other	batch34
SRR14777670.genes.results	GSC	other	batch19
SRR14777671.genes.results	GSC	other	batch19
SRR14820412.genes.results	GSC	other	batch32
SRR14820413.genes.results	GSC	other	batch32
SRR14820414.genes.results	GSC	other	batch32
SRR14850750.genes.results	GSC	other	batch15
SRR14850751.genes.results	GSC	other	batch15
SRR14850752.genes.results	GSC	other	batch15
SRR15097668.genes.results	GSC	other	batch31
SRR15097669.genes.results	GSC	other	batch31
SRR15097670.genes.results	GSC	other	batch31
SRR15097674.genes.results	GSC	other	batch31
SRR15097675.genes.results	GSC	other	batch31
SRR15097676.genes.results	GSC	other	batch31
SRR15097686.genes.results	GSC	other	batch31
SRR15097687.genes.results	GSC	other	batch31
SRR15097688.genes.results	GSC	other	batch31
SRR15165564.genes.results	GSC	other	batch25
SRR15338222.genes.results	GSC	other	batch28
SRR15338223.genes.results	GSC	other	batch28
SRR15338226.genes.results	GSC	other	batch28
SRR15338228.genes.results	GSC	other	batch28
SRR15338230.genes.results	GSC	other	batch28
SRR1609728.genes.results	GSC	untreated	batch52
SRR1609730.genes.results	GSC	untreated	batch52
SRR16295482.genes.results	GSC	other	batch11
SRR16295483.genes.results	GSC	other	batch11
SRR16295484.genes.results	GSC	other	batch11
SRR16295492.genes.results	GSC	other	batch11
SRR16295493.genes.results	GSC	other	batch11
SRR16352141.genes.results	GSC	other	batch29
SRR16352143.genes.results	GSC	other	batch29
SRR16352144.genes.results	GSC	other	batch29
SRR17064165.genes.results	GSC	other	batch26
SRR17064166.genes.results	GSC	other	batch26
SRR17064179.genes.results	GSC	other	batch26
SRR17349195.genes.results	GSC	other	batch21
SRR17349196.genes.results	GSC	other	batch21
SRR17349197.genes.results	GSC	other	batch21
SRR17349206.genes.results	GSC	other	batch21
SRR17349207.genes.results	GSC	other	batch21
SRR17349208.genes.results	GSC	other	batch21
SRR17885900.genes.results	GSC	other	batch24
SRR17885901.genes.results	GSC	other	batch24
SRR17885906.genes.results	GSC	other	batch24
SRR17885907.genes.results	GSC	other	batch24
SRR19217307.genes.results	GSC	other	batch22
SRR19217308.genes.results	GSC	other	batch22
SRR19217311.genes.results	GSC	other	batch22
SRR19217312.genes.results	GSC	other	batch22
SRR19506642.genes.results	GSC	other	batch7
SRR19506644.genes.results	GSC	other	batch7
SRR19506646.genes.results	GSC	other	batch7
SRR20324018.genes.results	DGC	other	batch2
SRR20324019.genes.results	DGC	other	batch2
SRR20324024.genes.results	DGC	other	batch2
SRR20324025.genes.results	DGC	other	batch2
SRR20324038.genes.results	GSC	other	batch2
SRR20324041.genes.results	GSC	other	batch2
SRR20324044.genes.results	GSC	other	batch2
SRR20324045.genes.results	GSC	other	batch2
SRR21721720.genes.results	GSC	other	batch18
SRR21721721.genes.results	GSC	other	batch18
SRR21721724.genes.results	GSC	other	batch18
SRR21721725.genes.results	GSC	other	batch18
SRR22301805.genes.results	GSC	other	batch14
SRR22301806.genes.results	GSC	other	batch14
SRR22301807.genes.results	GSC	other	batch14
SRR22301822.genes.results	GSC	other	batch13
SRR22301823.genes.results	GSC	other	batch13
SRR22512142.genes.results	GSC	untreated	batch9
SRR22512143.genes.results	GSC	untreated	batch9
SRR23445588.genes.results	GSC	untreated	batch6
SRR23445589.genes.results	GSC	untreated	batch6
SRR23717299.genes.results	GSC	other	batch12
SRR23717300.genes.results	GSC	other	batch12
SRR23717301.genes.results	GSC	other	batch12
SRR23759450.genes.results	GSC	other	batch20
SRR23759451.genes.results	GSC	other	batch20
SRR23759452.genes.results	GSC	other	batch20
SRR24542348.genes.results	GSC	other	batch16
SRR24542349.genes.results	GSC	other	batch16
SRR24542350.genes.results	GSC	other	batch16
SRR24542351.genes.results	GSC	other	batch16
SRR25886939.genes.results	GSC	other	batch5
SRR25886940.genes.results	GSC	other	batch5
SRR25886943.genes.results	GSC	other	batch5
SRR25886944.genes.results	GSC	other	batch5
SRR26448715.genes.results	GSC	other	batch10
SRR26448716.genes.results	GSC	other	batch10
SRR26448717.genes.results	GSC	other	batch10
SRR27118182.genes.results	GSC	other	batch1
SRR27118183.genes.results	GSC	other	batch1
SRR27118184.genes.results	GSC	other	batch1
SRR27118188.genes.results	GSC	other	batch1
SRR27118189.genes.results	GSC	other	batch1
SRR27118190.genes.results	GSC	other	batch1
SRR27118194.genes.results	GSC	other	batch1
SRR27118195.genes.results	GSC	other	batch1
SRR27118196.genes.results	GSC	other	batch1
SRR27118200.genes.results	GSC	other	batch1
SRR27118201.genes.results	GSC	other	batch1
SRR27118202.genes.results	GSC	other	batch1
SRR27118206.genes.results	GSC	other	batch1
SRR27118207.genes.results	GSC	other	batch1
SRR27118208.genes.results	GSC	other	batch1
SRR27118212.genes.results	GSC	other	batch1
SRR27118213.genes.results	GSC	other	batch1
SRR27118214.genes.results	GSC	other	batch1
SRR27118218.genes.results	GSC	other	batch1
SRR27118219.genes.results	GSC	other	batch1
SRR27118220.genes.results	GSC	other	batch1
SRR27118224.genes.results	GSC	other	batch1
SRR27118225.genes.results	GSC	other	batch1
SRR27118226.genes.results	GSC	other	batch1
SRR27318073.genes.results	GSC	untreated	batch8
SRR27318074.genes.results	GSC	untreated	batch8
SRR27318075.genes.results	GSC	untreated	batch8
SRR3313628.genes.results	GSC	other	batch54
SRR3313631.genes.results	GSC	other	batch54
SRR4114630.genes.results	GSC	other	batch51
SRR4114633.genes.results	GSC	other	batch51
SRR4343473.genes.results	GSC	other	batch50
SRR4343474.genes.results	GSC	other	batch50
SRR4343475.genes.results	GSC	other	batch50
