gene type treat batch
SRR1004840.genes.results GSC untreated batch53
SRR1004841.genes.results GSC untreated batch53
SRR1004842.genes.results GSC untreated batch53
SRR1004843.genes.results GSC untreated batch53
SRR10461717.genes.results GSC untreated batch35
SRR10461718.genes.results GSC untreated batch35
SRR10461723.genes.results GSC untreated batch35
SRR10461724.genes.results GSC untreated batch35
SRR12145826.genes.results GSC untreated batch17
SRR12145827.genes.results GSC untreated batch17
SRR12145828.genes.results GSC untreated batch17
SRR12145829.genes.results GSC untreated batch17
SRR12145830.genes.results GSC untreated batch17
SRR12145831.genes.results GSC untreated batch17
SRR12145832.genes.results GSC untreated batch17
SRR12145833.genes.results GSC untreated batch17
SRR12145834.genes.results GSC untreated batch17
SRR12145835.genes.results GSC untreated batch17
SRR12621191.genes.results GSC untreated batch45
SRR13057287.genes.results GSC untreated batch36
SRR13057288.genes.results GSC untreated batch36
SRR1609728.genes.results GSC untreated batch52
SRR1609730.genes.results GSC untreated batch52
SRR22512142.genes.results GSC untreated batch9
SRR22512143.genes.results GSC untreated batch9
SRR23445588.genes.results GSC untreated batch6
SRR23445589.genes.results GSC untreated batch6
SRR27318073.genes.results GSC untreated batch8
SRR27318074.genes.results GSC untreated batch8
SRR27318075.genes.results GSC untreated batch8
SRR5238929.genes.results GSC untreated batch48
SRR5238930.genes.results GSC untreated batch48
SRR5238931.genes.results GSC untreated batch48
SRR5238932.genes.results GSC untreated batch48
SRR5238933.genes.results GSC untreated batch48
SRR5238934.genes.results GSC untreated batch48
SRR5238935.genes.results GSC untreated batch48
SRR5894154.genes.results GSC untreated batch4
SRR5894155.genes.results DGC untreated batch4
SRR5894156.genes.results GSC untreated batch4
SRR5894157.genes.results DGC untreated batch4
SRR5894158.genes.results GSC untreated batch4
SRR5894159.genes.results DGC untreated batch4
SRR7137947.genes.results GSC untreated batch3
SRR7137949.genes.results GSC untreated batch3
SRR7137951.genes.results GSC untreated batch3
SRR7137953.genes.results DGC untreated batch3
SRR7137955.genes.results DGC untreated batch3
SRR7137957.genes.results DGC untreated batch3
SRR7820938.genes.results GSC untreated batch44
SRR7820939.genes.results GSC untreated batch44
SRR7820940.genes.results GSC untreated batch44
SRR7820941.genes.results GSC untreated batch44
SRR7820942.genes.results GSC untreated batch44
SRR7820943.genes.results GSC untreated batch44
SRR7820944.genes.results GSC untreated batch44
SRR7820945.genes.results GSC untreated batch44
SRR7820946.genes.results GSC untreated batch44
SRR7820947.genes.results GSC untreated batch44
SRR7820948.genes.results GSC untreated batch44
SRR7820949.genes.results GSC untreated batch44
SRR7820950.genes.results GSC untreated batch44
SRR7820951.genes.results GSC untreated batch44
SRR7820952.genes.results GSC untreated batch44
SRR7820953.genes.results GSC untreated batch44
SRR7820954.genes.results GSC untreated batch44
SRR7820955.genes.results GSC untreated batch44
SRR7820956.genes.results GSC untreated batch44
SRR7820957.genes.results GSC untreated batch44
SRR7820958.genes.results GSC untreated batch44
SRR7820959.genes.results GSC untreated batch44
SRR7820960.genes.results GSC untreated batch44
SRR7820961.genes.results GSC untreated batch44
SRR7820962.genes.results GSC untreated batch44
SRR7820963.genes.results GSC untreated batch44
SRR7820964.genes.results GSC untreated batch44
SRR7820965.genes.results GSC untreated batch44
SRR7820966.genes.results GSC untreated batch44
SRR7820967.genes.results GSC untreated batch44
SRR7820968.genes.results GSC untreated batch44
SRR7820969.genes.results GSC untreated batch44
SRR7820970.genes.results GSC untreated batch44
SRR7820971.genes.results GSC untreated batch44
SRR7820972.genes.results GSC untreated batch44
SRR7820973.genes.results GSC untreated batch44
SRR7820974.genes.results GSC untreated batch44
SRR7820975.genes.results GSC untreated batch44
SRR7820979.genes.results GSC untreated batch44
SRR7820980.genes.results GSC untreated batch44
SRR7820981.genes.results GSC untreated batch44
