SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
SRR10316223,brain,none,GSC,other,1,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/bam_files/SRR10316223.rmdup_sorted.bam,SRR10316226,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/bam_files/SRR10316226.rmdup_sorted.bam,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/macs2/SRR10316223_peaks.broadPeak,bed
SRR12056338,brain,none,GSC,untreated,2,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/bam_files/SRR12056338.rmdup_sorted.bam,SRR12056340,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/bam_files/SRR12056340.rmdup_sorted.bam,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/macs2/SRR12056338_peaks.broadPeak,bed
SRR13057269,brain,none,GSC,other,3,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/bam_files/SRR13057269.rmdup_sorted.bam,SRR13057268,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/bam_files/SRR13057268.rmdup_sorted.bam,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/macs2/SRR13057269_peaks.broadPeak,bed
SRR13057273,brain,none,GSC,other,3,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/bam_files/SRR13057273.rmdup_sorted.bam,SRR13057272,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/bam_files/SRR13057272.rmdup_sorted.bam,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/macs2/SRR13057273_peaks.broadPeak,bed
SRR14862217,brain,none,GSC,other,4,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/bam_files/SRR14862217.rmdup_sorted.bam,SRR14862231,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/bam_files/SRR14862231.rmdup_sorted.bam,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/macs2/SRR14862217_peaks.broadPeak,bed
SRR14862218,brain,none,GSC,other,4,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/bam_files/SRR14862218.rmdup_sorted.bam,SRR14862231,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/bam_files/SRR14862231.rmdup_sorted.bam,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/macs2/SRR14862218_peaks.broadPeak,bed
SRR14862221,brain,none,GSC,untreated,4,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/bam_files/SRR14862221.rmdup_sorted.bam,SRR14862231,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/bam_files/SRR14862231.rmdup_sorted.bam,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/macs2/SRR14862221_peaks.broadPeak,bed
SRR14862222,brain,none,GSC,untreated,4,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/bam_files/SRR14862222.rmdup_sorted.bam,SRR14862231,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/bam_files/SRR14862231.rmdup_sorted.bam,/cluster/home/jialu/GBM/gsc/h3k27ac/SE/macs2/SRR14862222_peaks.broadPeak,bed
SRR20323909,brain,none,GSC,other,5,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/bam_files/SRR20323909.rmdup_sorted.bam,SRR20323911,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/bam_files/SRR20323911.rmdup_sorted.bam,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/macs2/SRR20323909_peaks.broadPeak,bed
SRR21152084,brain,none,DGC,untreated,6,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/bam_files/SRR21152084.rmdup_sorted.bam,SRR21152087,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/bam_files/SRR21152087.rmdup_sorted.bam,/cluster/home/jialu/GBM/gsc/h3k27ac/PE/macs2/SRR21152084_peaks.broadPeak,bed
