chrom	start	end	name	eigval1	eigval2	eigval3
chr1	0	248956422	chr1	894.1498369131651	-856.1608325517601	586.9444552012806
chr2	0	242193529	chr2	-706.4838412623965	703.3846778736281	697.0976788119093
chr3	0	198295559	chr3	660.4255550627969	583.4026109784471	-581.7393069036888
chr4	0	190214555	chr4	681.2175703033028	-649.3482451273167	644.6624470175465
chr5	0	181538259	chr5	946.1611721033305	-945.5214739390921	454.9481920970008
chr6	0	170805979	chr6	-888.7685175172869	855.1956376539439	-422.93403630215784
chr7	0	159345973	chr7	-404.671131708018	404.42046585890193	390.8735380845611
chr8	0	145138636	chr8	520.8208147823977	-474.0966298996147	426.253531058205
chr9	0	138394717	chr9	343.9730819198111	-331.2456133744596	318.17507289275284
chr10	0	133797422	chr10	414.945036959237	-377.5565829293667	341.01546907229374
chr11	0	135086622	chr11	1222.5849116191223	1074.0642454926765	-996.9152684654192
chr12	0	133275309	chr12	419.35160178767677	-367.11168603240935	344.06392943879877
chr13	0	114364328	chr13	217.49119910589937	-202.50501441084586	200.02824143248404
chr14	0	107043718	chr14	185.22301148528987	-168.74938241195525	166.62334986046633
chr15	0	101991189	chr15	128.58309478441865	-113.49308420753852	108.18462713314533
chr16	0	90338345	chr16	392.5315880639434	-367.66511298032555	263.4207868668741
chr17	0	83257441	chr17	250.47073246177186	-196.9778010996733	195.0126668314747
chr18	0	80373285	chr18	210.4429717163525	-157.1238395813041	-139.5316074888529
chr19	0	58617616	chr19	392.9224117845888	-385.25046226275293	237.9062237919403
chr20	0	64444167	chr20	249.2167669427111	-216.34981973739028	166.6355742944498
chr21	0	46709983	chr21	-44.35483363220991	43.35884864699872	32.6852039804754
chr22	0	50818468	chr22	48.46508204172197	-41.18478004320521	-37.693043012296876
chrX	0	156040895	chrX	512.391154489566	-506.9113325293477	442.1527238259105
chrY	0	57227415	chrY	-6.274917217635373	2.0	1.9999999999999996
chrM	0	16569	chrM			
